irr-A3-1	1 x (irr-A1-1,irr-A1-1)
irr-A3-4	1 x (irr-A1-2-q,irr-A1-2-q)
irr-A3-6	1 x (irr-A1-3,irr-A1-1) + 1 x (irr-A1-1,irr-A1-3)
irr-A3-10	1 x (irr-A1-1,irr-A1-1) + 1 x (irr-A1-3,irr-A1-3)
irr-A3-15	1 x (irr-A1-3,irr-A1-1) + 1 x (irr-A1-1,irr-A1-3) + 1 x (irr-A1-3,irr-A1-3)
irr-A3-20a	1 x (irr-A1-2-q,irr-A1-2-q) + 1 x (irr-A1-4-q,irr-A1-2-q) + 1 x (irr-A1-2-q,irr-A1-4-q)
irr-A3-20b	1 x (irr-A1-1,irr-A1-1) + 1 x (irr-A1-3,irr-A1-3) + 1 x (irr-A1-5,irr-A1-1) + 1 x (irr-A1-1,irr-A1-5)
irr-A3-20c	1 x (irr-A1-2-q,irr-A1-2-q) + 1 x (irr-A1-4-q,irr-A1-4-q)
irr-A3-35	1 x (irr-A1-1,irr-A1-1) + 1 x (irr-A1-3,irr-A1-3) + 1 x (irr-A1-5,irr-A1-5)
irr-A3-36	1 x (irr-A1-2-q,irr-A1-2-q) + 1 x (irr-A1-4-q,irr-A1-2-q) + 1 x (irr-A1-2-q,irr-A1-4-q) + 1 x (irr-A1-4-q,irr-A1-4-q)
irr-A3-45	1 x (irr-A1-3,irr-A1-1) + 1 x (irr-A1-1,irr-A1-3) + 1 x (irr-A1-3,irr-A1-3) + 1 x (irr-A1-5,irr-A1-3) + 1 x (irr-A1-3,irr-A1-5)
irr-A3-50	1 x (irr-A1-3,irr-A1-1) + 1 x (irr-A1-1,irr-A1-3) + 1 x (irr-A1-5,irr-A1-3) + 1 x (irr-A1-3,irr-A1-5) + 1 x (irr-A1-7,irr-A1-1) + 1 x (irr-A1-1,irr-A1-7)
irr-A3-60	1 x (irr-A1-2-q,irr-A1-2-q) + 1 x (irr-A1-4-q,irr-A1-2-q) + 1 x (irr-A1-2-q,irr-A1-4-q) + 1 x (irr-A1-4-q,irr-A1-4-q) + 1 x (irr-A1-6-q,irr-A1-2-q) + 1 x (irr-A1-2-q,irr-A1-6-q)
irr-A3-64	1 x (irr-A1-3,irr-A1-1) + 1 x (irr-A1-1,irr-A1-3) + 2 x (irr-A1-3,irr-A1-3) + 1 x (irr-A1-5,irr-A1-1) + 1 x (irr-A1-1,irr-A1-5) + 1 x (irr-A1-5,irr-A1-3) + 1 x (irr-A1-3,irr-A1-5)
irr-A3-70	1 x (irr-A1-3,irr-A1-1) + 1 x (irr-A1-1,irr-A1-3) + 1 x (irr-A1-3,irr-A1-3) + 1 x (irr-A1-5,irr-A1-3) + 1 x (irr-A1-3,irr-A1-5) + 1 x (irr-A1-5,irr-A1-5)
irr-A3-84a	1 x (irr-A1-1,irr-A1-1) + 2 x (irr-A1-3,irr-A1-3) + 1 x (irr-A1-5,irr-A1-1) + 1 x (irr-A1-1,irr-A1-5) + 1 x (irr-A1-5,irr-A1-3) + 1 x (irr-A1-3,irr-A1-5) + 1 x (irr-A1-5,irr-A1-5)
irr-A3-84b	1 x (irr-A1-2-q,irr-A1-2-q) + 1 x (irr-A1-4-q,irr-A1-2-q) + 1 x (irr-A1-2-q,irr-A1-4-q) + 1 x (irr-A1-4-q,irr-A1-4-q) + 1 x (irr-A1-6-q,irr-A1-4-q) + 1 x (irr-A1-4-q,irr-A1-6-q)
