irr-A4-1	1 x (irr-A3-1)
irr-A4-5	1 x (irr-A3-1) + 1 x (irr-A3-4)
irr-A4-10	1 x (irr-A3-4) + 1 x (irr-A3-6)
irr-A4-15	1 x (irr-A3-1) + 1 x (irr-A3-4) + 1 x (irr-A3-10)
irr-A4-24	1 x (irr-A3-1) + 2 x (irr-A3-4) + 1 x (irr-A3-15)
irr-A4-35	1 x (irr-A3-1) + 1 x (irr-A3-4) + 1 x (irr-A3-10) + 1 x (irr-A3-20c)
irr-A4-40	1 x (irr-A3-4) + 1 x (irr-A3-6) + 1 x (irr-A3-10) + 1 x (irr-A3-20a)
irr-A4-45	1 x (irr-A3-4) + 1 x (irr-A3-6) + 1 x (irr-A3-15) + 1 x (irr-A3-20a)
irr-A4-50	1 x (irr-A3-10) + 1 x (irr-A3-20a) + 1 x (irr-A3-20b)
irr-A4-70a	1 x (irr-A3-1) + 2 x (irr-A3-4) + 1 x (irr-A3-10) + 1 x (irr-A3-15) + 1 x (irr-A3-36)
irr-A4-75	1 x (irr-A3-15) + 2 x (irr-A3-20a) + 1 x (irr-A3-20b)
