irr-A4-1	1 x (irr-C2-1)
irr-A4-5	1 x (irr-C2-5)
irr-A4-10	1 x (irr-C2-10)
irr-A4-15	1 x (irr-C2-1) + 1 x (irr-C2-14)
irr-A4-24	1 x (irr-C2-10) + 1 x (irr-C2-14)
irr-A4-35	1 x (irr-C2-5) + 1 x (irr-C2-30)
irr-A4-40	1 x (irr-C2-5) + 1 x (irr-C2-35a)
irr-A4-45	1 x (irr-C2-10) + 1 x (irr-C2-35a)
irr-A4-50	1 x (irr-C2-1) + 1 x (irr-C2-14) + 1 x (irr-C2-35b)
irr-A4-70a	1 x (irr-C2-5) + 1 x (irr-C2-30) + 1 x (irr-C2-35a)
irr-A4-75	1 x (irr-C2-5) + 1 x (irr-C2-35a) + 1 x (irr-C2-35b)
irr-A4-105	1 x (irr-C2-10) + 1 x (irr-C2-14) + 1 x (irr-C2-81)
