irr-A5-1	1 x (irr-A2-1,irr-A2-1)
irr-A5-6	1 x (irr-A2-3,irr-A2-1) + 1 x (irr-A2-1,irr-A2-3)
irr-A5-15	1 x (irr-A2-3,irr-A2-1) + 1 x (irr-A2-1,irr-A2-3) + 1 x (irr-A2-3,irr-A2-3)
irr-A5-20-q	2 x (irr-A2-1,irr-A2-1) + 2 x (irr-A2-3,irr-A2-3)
irr-A5-21	1 x (irr-A2-3,irr-A2-3) + 1 x (irr-A2-6,irr-A2-1) + 1 x (irr-A2-1,irr-A2-6)
irr-A5-35	1 x (irr-A2-1,irr-A2-1) + 2 x (irr-A2-3,irr-A2-3) + 1 x (irr-A2-8,irr-A2-1) + 1 x (irr-A2-1,irr-A2-8)
irr-A5-56	1 x (irr-A2-6,irr-A2-3) + 1 x (irr-A2-3,irr-A2-6) + 1 x (irr-A2-10,irr-A2-1) + 1 x (irr-A2-1,irr-A2-10)
irr-A5-70	2 x (irr-A2-3,irr-A2-3) + 1 x (irr-A2-8,irr-A2-1) + 1 x (irr-A2-1,irr-A2-8) + 1 x (irr-A2-6,irr-A2-3) + 1 x (irr-A2-3,irr-A2-6)
irr-A5-84	1 x (irr-A2-3,irr-A2-1) + 1 x (irr-A2-1,irr-A2-3) + 2 x (irr-A2-3,irr-A2-3) + 1 x (irr-A2-6,irr-A2-1) + 1 x (irr-A2-1,irr-A2-6) + 1 x (irr-A2-8,irr-A2-3) + 1 x (irr-A2-3,irr-A2-8)
irr-A5-105a	2 x (irr-A2-3,irr-A2-1) + 2 x (irr-A2-1,irr-A2-3) + 1 x (irr-A2-3,irr-A2-3) + 1 x (irr-A2-3,irr-A2-6) + 1 x (irr-A2-6,irr-A2-3) + 1 x (irr-A2-8,irr-A2-3) + 1 x (irr-A2-3,irr-A2-8)
irr-A5-105b	1 x (irr-A2-3,irr-A2-3) + 1 x (irr-A2-6,irr-A2-1) + 1 x (irr-A2-1,irr-A2-6) + 1 x (irr-A2-8,irr-A2-3) + 1 x (irr-A2-3,irr-A2-8) + 1 x (irr-A2-6,irr-A2-6)
