irr-B3-1	1 x (irr-A1-1,irr-A1-1,irr-A1-1)
irr-B3-7	1 x (irr-A1-2-q,irr-A1-2-q,irr-A1-1) + 1 x (irr-A1-1,irr-A1-1,irr-A1-3)
irr-B3-8	1 x (irr-A1-2-q,irr-A1-1,irr-A1-2-q) + 1 x (irr-A1-1,irr-A1-2-q,irr-A1-2-q)
irr-B3-21	1 x (irr-A1-3,irr-A1-1,irr-A1-1) + 1 x (irr-A1-1,irr-A1-3,irr-A1-1) + 1 x (irr-A1-1,irr-A1-1,irr-A1-3) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-A1-3)
irr-B3-27	1 x (irr-A1-1,irr-A1-1,irr-A1-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-A1-3) + 1 x (irr-A1-3,irr-A1-3,irr-A1-1) + 1 x (irr-A1-1,irr-A1-1,irr-A1-5)
irr-B3-35	1 x (irr-A1-1,irr-A1-1,irr-A1-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-A1-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-A1-3) + 1 x (irr-A1-3,irr-A1-1,irr-A1-3) + 1 x (irr-A1-1,irr-A1-3,irr-A1-3)
irr-B3-48	1 x (irr-A1-2-q,irr-A1-1,irr-A1-2-q) + 1 x (irr-A1-1,irr-A1-2-q,irr-A1-2-q) + 1 x (irr-A1-3,irr-A1-2-q,irr-A1-2-q) + 1 x (irr-A1-2-q,irr-A1-3,irr-A1-2-q) + 1 x (irr-A1-2-q,irr-A1-1,irr-A1-4-q) + 1 x (irr-A1-1,irr-A1-2-q,irr-A1-4-q)
irr-B3-77	1 x (irr-A1-2-q,irr-A1-2-q,irr-A1-1) + 1 x (irr-A1-1,irr-A1-1,irr-A1-3) + 1 x (irr-A1-3,irr-A1-3,irr-A1-3) + 1 x (irr-A1-4-q,irr-A1-4-q,irr-A1-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-A1-5) + 1 x (irr-A1-1,irr-A1-1,irr-A1-7)
irr-B3-105	1 x (irr-A1-2-q,irr-A1-2-q,irr-A1-1) + 1 x (irr-A1-1,irr-A1-1,irr-A1-3) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-A1-3) + 1 x (irr-A1-3,irr-A1-1,irr-A1-3) + 1 x (irr-A1-1,irr-A1-3,irr-A1-3) + 1 x (irr-A1-4-q,irr-A1-2-q,irr-A1-1) + 1 x (irr-A1-2-q,irr-A1-4-q,irr-A1-1) + 1 x (irr-A1-1,irr-A1-1,irr-A1-5) + 1 x (irr-A1-3,irr-A1-3,irr-A1-3) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-A1-5)
irr-B3-112a	1 x (irr-A1-2-q,irr-A1-1,irr-A1-2-q) + 1 x (irr-A1-1,irr-A1-2-q,irr-A1-2-q) + 1 x (irr-A1-3,irr-A1-2-q,irr-A1-2-q) + 1 x (irr-A1-2-q,irr-A1-3,irr-A1-2-q) + 1 x (irr-A1-4-q,irr-A1-1,irr-A1-2-q) + 1 x (irr-A1-2-q,irr-A1-1,irr-A1-4-q) + 1 x (irr-A1-1,irr-A1-4-q,irr-A1-2-q) + 1 x (irr-A1-1,irr-A1-2-q,irr-A1-4-q) + 1 x (irr-A1-3,irr-A1-2-q,irr-A1-4-q) + 1 x (irr-A1-2-q,irr-A1-3,irr-A1-4-q)
irr-B3-112b	1 x (irr-A1-2-q,irr-A1-1,irr-A1-2-q) + 1 x (irr-A1-1,irr-A1-2-q,irr-A1-2-q) + 1 x (irr-A1-3,irr-A1-2-q,irr-A1-2-q) + 1 x (irr-A1-2-q,irr-A1-3,irr-A1-2-q) + 1 x (irr-A1-3,irr-A1-2-q,irr-A1-4-q) + 1 x (irr-A1-2-q,irr-A1-3,irr-A1-4-q) + 1 x (irr-A1-4-q,irr-A1-1,irr-A1-4-q) + 1 x (irr-A1-1,irr-A1-4-q,irr-A1-4-q)
