irr-B3-1	1 x (irr-C2-1)
irr-B3-7	2 x (irr-C2-1) + 1 x (irr-C2-5)
irr-B3-8	2 x (irr-C2-4-q)
irr-B3-21	1 x (irr-C2-1) + 2 x (irr-C2-5) + 1 x (irr-C2-10)
irr-B3-27	3 x (irr-C2-1) + 2 x (irr-C2-5) + 1 x (irr-C2-14)
irr-B3-35	1 x (irr-C2-5) + 3 x (irr-C2-10)
irr-B3-48	4 x (irr-C2-4-q) + 2 x (irr-C2-16-q)
irr-B3-77	4 x (irr-C2-1) + 3 x (irr-C2-5) + 2 x (irr-C2-14) + 1 x (irr-C2-30)
irr-B3-105	2 x (irr-C2-1) + 4 x (irr-C2-5) + 2 x (irr-C2-10) + 2 x (irr-C2-14) + 1 x (irr-C2-35a)
irr-B3-112a	2 x (irr-C2-4-q) + 4 x (irr-C2-16-q) + 2 x (irr-C2-20-q)
irr-B3-112b	2 x (irr-C2-16-q) + 4 x (irr-C2-20-q)
