irr-B3-1	1 x (irr-G2-1)
irr-B3-7	1 x (irr-G2-7)
irr-B3-8	1 x (irr-G2-1) + 1 x (irr-G2-7)
irr-B3-21	1 x (irr-G2-7) + 1 x (irr-G2-14)
irr-B3-27	1 x (irr-G2-27)
irr-B3-35	1 x (irr-G2-1) + 1 x (irr-G2-7) + 1 x (irr-G2-27)
irr-B3-48	1 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-27)
irr-B3-77	1 x (irr-G2-77a)
irr-B3-105	1 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-64)
irr-B3-112a	1 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-64)
irr-B3-112b	1 x (irr-G2-1) + 1 x (irr-G2-7) + 1 x (irr-G2-27) + 1 x (irr-G2-77a)
