irr-C2-1	1 x (irr-A1-1)
irr-C2-4-q	1 x (irr-A1-4-q)
irr-C2-5	1 x (irr-A1-5)
irr-C2-10	1 x (irr-A1-3) + 1 x (irr-A1-7)
irr-C2-14	1 x (irr-A1-5) + 1 x (irr-A1-9)
irr-C2-16-q	1 x (irr-A1-2-q) + 1 x (irr-A1-6-q) + 1 x (irr-A1-8-q)
irr-C2-20-q	1 x (irr-A1-4-q) + 1 x (irr-A1-6-q) + 1 x (irr-A1-10-q)
irr-C2-30	1 x (irr-A1-1) + 1 x (irr-A1-7) + 1 x (irr-A1-9) + 1 x (irr-A1-13)
irr-C2-35a	1 x (irr-A1-3) + 1 x (irr-A1-5) + 1 x (irr-A1-7) + 1 x (irr-A1-9) + 1 x (irr-A1-11)
irr-C2-35b	1 x (irr-A1-1) + 1 x (irr-A1-5) + 1 x (irr-A1-7) + 1 x (irr-A1-9) + 1 x (irr-A1-13)
irr-C2-40-q	1 x (irr-A1-4-q) + 1 x (irr-A1-6-q) + 1 x (irr-A1-8-q) + 1 x (irr-A1-10-q) + 1 x (irr-A1-12-q)
irr-C2-55	1 x (irr-A1-5) + 1 x (irr-A1-9) + 1 x (irr-A1-11) + 1 x (irr-A1-13) + 1 x (irr-A1-17)
irr-C2-56-q	1 x (irr-A1-4-q) + 1 x (irr-A1-6-q) + 1 x (irr-A1-8-q) + 1 x (irr-A1-10-q) + 1 x (irr-A1-12-q) + 1 x (irr-A1-16-q)
irr-C2-64-q	1 x (irr-A1-2-q) + 1 x (irr-A1-4-q) + 1 x (irr-A1-6-q) + 2 x (irr-A1-8-q) + 1 x (irr-A1-10-q) + 1 x (irr-A1-12-q) + 1 x (irr-A1-14-q)
irr-C2-80-q	1 x (irr-A1-4-q) + 1 x (irr-A1-6-q) + 1 x (irr-A1-8-q) + 2 x (irr-A1-10-q) + 1 x (irr-A1-12-q) + 1 x (irr-A1-14-q) + 1 x (irr-A1-16-q)
irr-C2-81	1 x (irr-A1-3) + 1 x (irr-A1-5) + 2 x (irr-A1-7) + 1 x (irr-A1-9) + 2 x (irr-A1-11) + 1 x (irr-A1-13) + 1 x (irr-A1-15)
irr-C2-84	1 x (irr-A1-3) + 2 x (irr-A1-7) + 1 x (irr-A1-9) + 1 x (irr-A1-11) + 1 x (irr-A1-13) + 1 x (irr-A1-15) + 1 x (irr-A1-19)
irr-C2-105	1 x (irr-A1-3) + 2 x (irr-A1-5) + 1 x (irr-A1-7) + 2 x (irr-A1-9) + 2 x (irr-A1-11) + 1 x (irr-A1-13) + 1 x (irr-A1-15) + 1 x (irr-A1-17)
irr-C2-140a-q	1 x (irr-A1-2-q) + 1 x (irr-A1-4-q) + 2 x (irr-A1-6-q) + 2 x (irr-A1-8-q) + 2 x (irr-A1-10-q) + 2 x (irr-A1-12-q) + 2 x (irr-A1-14-q) + 1 x (irr-A1-16-q) + 1 x (irr-A1-18-q)
irr-C2-154	1 x (irr-A1-3) + 1 x (irr-A1-5) + 2 x (irr-A1-7) + 2 x (irr-A1-9) + 2 x (irr-A1-11) + 2 x (irr-A1-13) + 2 x (irr-A1-15) + 1 x (irr-A1-17) + 1 x (irr-A1-19)
