irr-C2-1	1 x (irr-A1-1,irr-A1-1)
irr-C2-4-q	1 x (irr-A1-2-q,irr-A1-1) + 1 x (irr-A1-1,irr-A1-2-q)
irr-C2-5	1 x (irr-A1-1,irr-A1-1) + 1 x (irr-A1-2-q,irr-A1-2-q)
irr-C2-10	1 x (irr-A1-2-q,irr-A1-2-q) + 1 x (irr-A1-3,irr-A1-1) + 1 x (irr-A1-1,irr-A1-3)
irr-C2-14	1 x (irr-A1-1,irr-A1-1) + 1 x (irr-A1-2-q,irr-A1-2-q) + 1 x (irr-A1-3,irr-A1-3)
irr-C2-16-q	1 x (irr-A1-2-q,irr-A1-1) + 1 x (irr-A1-1,irr-A1-2-q) + 1 x (irr-A1-3,irr-A1-2-q) + 1 x (irr-A1-2-q,irr-A1-3)
irr-C2-20-q	1 x (irr-A1-3,irr-A1-2-q) + 1 x (irr-A1-2-q,irr-A1-3) + 1 x (irr-A1-4-q,irr-A1-1) + 1 x (irr-A1-1,irr-A1-4-q)
irr-C2-30	1 x (irr-A1-1,irr-A1-1) + 1 x (irr-A1-2-q,irr-A1-2-q) + 1 x (irr-A1-3,irr-A1-3) + 1 x (irr-A1-4-q,irr-A1-4-q)
irr-C2-35a	1 x (irr-A1-2-q,irr-A1-2-q) + 1 x (irr-A1-3,irr-A1-1) + 1 x (irr-A1-1,irr-A1-3) + 1 x (irr-A1-3,irr-A1-3) + 1 x (irr-A1-4-q,irr-A1-2-q) + 1 x (irr-A1-2-q,irr-A1-4-q)
irr-C2-35b	1 x (irr-A1-3,irr-A1-3) + 1 x (irr-A1-4-q,irr-A1-2-q) + 1 x (irr-A1-2-q,irr-A1-4-q) + 1 x (irr-A1-5,irr-A1-1) + 1 x (irr-A1-1,irr-A1-5)
irr-C2-40-q	1 x (irr-A1-2-q,irr-A1-1) + 1 x (irr-A1-1,irr-A1-2-q) + 1 x (irr-A1-2-q,irr-A1-3) + 1 x (irr-A1-3,irr-A1-2-q) + 1 x (irr-A1-4-q,irr-A1-3) + 1 x (irr-A1-3,irr-A1-4-q)
