vtx-A04-101-1-3	Δ = 101	bi.bi = 1	b0.bi = 3	hypers = 19 x (irr-A4-5) + 3 x (irr-A4-10)
vtx-A04-176-4-6	Δ = 176	bi.bi = 4	b0.bi = 6	hypers = 28 x (irr-A4-5) + 6 x (irr-A4-10)
vtx-A04-225-9-9	Δ = 225	bi.bi = 9	b0.bi = 9	hypers = 27 x (irr-A4-5) + 9 x (irr-A4-10) + 1 x (irr-A4-24)
vtx-A04-226-9-9	Δ = 226	bi.bi = 9	b0.bi = 9	hypers = 27 x (irr-A4-5) + 10 x (irr-A4-10) + 1 x (irr-A4-15)
vtx-A04-248-16-12	Δ = 248	bi.bi = 16	b0.bi = 12	hypers = 16 x (irr-A4-5) + 12 x (irr-A4-10) + 3 x (irr-A4-24)
vtx-A04-249-16-12	Δ = 249	bi.bi = 16	b0.bi = 12	hypers = 16 x (irr-A4-5) + 13 x (irr-A4-10) + 1 x (irr-A4-15) + 2 x (irr-A4-24)
vtx-A04-250-16-12	Δ = 250	bi.bi = 16	b0.bi = 12	hypers = 16 x (irr-A4-5) + 14 x (irr-A4-10) + 2 x (irr-A4-15) + 1 x (irr-A4-24)
vtx-A04-251-16-12	Δ = 251	bi.bi = 16	b0.bi = 12	hypers = 16 x (irr-A4-5) + 15 x (irr-A4-10) + 3 x (irr-A4-15)
vtx-A04-272-36-18-a	Δ = 272	bi.bi = 36	b0.bi = 18	hypers = 4 x (irr-A4-5) + 10 x (irr-A4-10) + 4 x (irr-A4-24) + 2 x (irr-A4-40)
vtx-A04-272-36-18-b	Δ = 272	bi.bi = 36	b0.bi = 18	hypers = 5 x (irr-A4-5) + 9 x (irr-A4-10) + 4 x (irr-A4-24) + 1 x (irr-A4-40) + 1 x (irr-A4-45)
vtx-A04-272-36-18-c	Δ = 272	bi.bi = 36	b0.bi = 18	hypers = 6 x (irr-A4-5) + 8 x (irr-A4-10) + 4 x (irr-A4-24) + 2 x (irr-A4-45)
vtx-A04-273-25-15-a	Δ = 273	bi.bi = 25	b0.bi = 15	hypers = 16 x (irr-A4-5) + 10 x (irr-A4-10) + 3 x (irr-A4-24) + 1 x (irr-A4-45)
vtx-A04-273-25-15-b	Δ = 273	bi.bi = 25	b0.bi = 15	hypers = 15 x (irr-A4-5) + 11 x (irr-A4-10) + 3 x (irr-A4-24) + 1 x (irr-A4-40)
vtx-A04-273-36-18-a	Δ = 273	bi.bi = 36	b0.bi = 18	hypers = 6 x (irr-A4-5) + 9 x (irr-A4-10) + 1 x (irr-A4-15) + 3 x (irr-A4-24) + 2 x (irr-A4-45)
vtx-A04-273-36-18-b	Δ = 273	bi.bi = 36	b0.bi = 18	hypers = 5 x (irr-A4-5) + 10 x (irr-A4-10) + 1 x (irr-A4-15) + 3 x (irr-A4-24) + 1 x (irr-A4-40) + 1 x (irr-A4-45)
