vtx-B04-98-1-3	Δ = 98	bi.bi = 1	b0.bi = 3	hypers = 6 x (irr-B4-9) + 5 x (irr-B4-16)
vtx-B04-173-4-6	Δ = 173	bi.bi = 4	b0.bi = 6	hypers = 9 x (irr-B4-9) + 8 x (irr-B4-16)
vtx-B04-225-9-9	Δ = 225	bi.bi = 9	b0.bi = 9	hypers = 9 x (irr-B4-9) + 9 x (irr-B4-16) + 1 x (irr-B4-36)
vtx-B04-254-16-12	Δ = 254	bi.bi = 16	b0.bi = 12	hypers = 6 x (irr-B4-9) + 8 x (irr-B4-16) + 3 x (irr-B4-36)
vtx-B04-260-25-15	Δ = 260	bi.bi = 25	b0.bi = 15	hypers = 5 x (irr-B4-16) + 6 x (irr-B4-36)
vtx-B04-264-16-12	Δ = 264	bi.bi = 16	b0.bi = 12	hypers = 16 x (irr-B4-16) + 1 x (irr-B4-44)
vtx-B04-271-64-24-a	Δ = 271	bi.bi = 64	b0.bi = 24	hypers = 1 x (irr-B4-9) + 1 x (irr-B4-44) + 1 x (irr-B4-126) + 1 x (irr-B4-128)
vtx-B04-271-64-24-b	Δ = 271	bi.bi = 64	b0.bi = 24	hypers = 1 x (irr-B4-9) + 2 x (irr-B4-44) + 1 x (irr-B4-84) + 1 x (irr-B4-126)
vtx-B04-273-36-18	Δ = 273	bi.bi = 36	b0.bi = 18	hypers = 5 x (irr-B4-9) + 5 x (irr-B4-36) + 1 x (irr-B4-84)
vtx-B04-273-49-21-a	Δ = 273	bi.bi = 49	b0.bi = 21	hypers = 1 x (irr-B4-9) + 1 x (irr-B4-16) + 2 x (irr-B4-36) + 1 x (irr-B4-44) + 2 x (irr-B4-84)
vtx-B04-273-49-21-b	Δ = 273	bi.bi = 49	b0.bi = 21	hypers = 1 x (irr-B4-9) + 1 x (irr-B4-16) + 2 x (irr-B4-36) + 1 x (irr-B4-84) + 1 x (irr-B4-128)
vtx-B04-290-25-15	Δ = 290	bi.bi = 25	b0.bi = 15	hypers = 14 x (irr-B4-9) + 5 x (irr-B4-16) + 1 x (irr-B4-36) + 1 x (irr-B4-84)
vtx-B04-294-49-21	Δ = 294	bi.bi = 49	b0.bi = 21	hypers = 8 x (irr-B4-9) + 1 x (irr-B4-16) + 2 x (irr-B4-36) + 1 x (irr-B4-44) + 1 x (irr-B4-126)
vtx-B04-303-36-18	Δ = 303	bi.bi = 36	b0.bi = 18	hypers = 19 x (irr-B4-9) + 2 x (irr-B4-84)
vtx-B04-324-36-18	Δ = 324	bi.bi = 36	b0.bi = 18	hypers = 26 x (irr-B4-9) + 1 x (irr-B4-126)
