vtx-D04-92-1-3	Δ = 92	bi.bi = 1	b0.bi = 3	hypers = 5 x (irr-D4-8a) + 10 x (irr-D4-8b)
vtx-D04-164-4-6	Δ = 164	bi.bi = 4	b0.bi = 6	hypers = 8 x (irr-D4-8a) + 16 x (irr-D4-8b)
vtx-D04-216-9-9	Δ = 216	bi.bi = 9	b0.bi = 9	hypers = 9 x (irr-D4-8a) + 18 x (irr-D4-8b) + 1 x (irr-D4-28)
vtx-D04-248-16-12	Δ = 248	bi.bi = 16	b0.bi = 12	hypers = 8 x (irr-D4-8a) + 16 x (irr-D4-8b) + 3 x (irr-D4-28)
vtx-D04-252-36-18	Δ = 252	bi.bi = 36	b0.bi = 18	hypers = 10 x (irr-D4-28)
vtx-D04-260-25-15	Δ = 260	bi.bi = 25	b0.bi = 15	hypers = 5 x (irr-D4-8a) + 10 x (irr-D4-8b) + 6 x (irr-D4-28)
vtx-D04-263-16-12-a	Δ = 263	bi.bi = 16	b0.bi = 12	hypers = 32 x (irr-D4-8b) + 1 x (irr-D4-35a)
vtx-D04-263-16-12-b	Δ = 263	bi.bi = 16	b0.bi = 12	hypers = 16 x (irr-D4-8a) + 16 x (irr-D4-8b) + 1 x (irr-D4-35b)
vtx-D04-266-64-24	Δ = 266	bi.bi = 64	b0.bi = 24	hypers = 3 x (irr-D4-28) + 2 x (irr-D4-35a) + 4 x (irr-D4-35b)
vtx-D04-267-36-18	Δ = 267	bi.bi = 36	b0.bi = 18	hypers = 8 x (irr-D4-8a) + 7 x (irr-D4-28) + 1 x (irr-D4-35b)
vtx-D04-267-64-24	Δ = 267	bi.bi = 64	b0.bi = 24	hypers = 1 x (irr-D4-8a) + 2 x (irr-D4-28) + 2 x (irr-D4-35a) + 3 x (irr-D4-35b) + 1 x (irr-D4-56a)
vtx-D04-268-36-18-a	Δ = 268	bi.bi = 36	b0.bi = 18	hypers = 9 x (irr-D4-8a) + 6 x (irr-D4-28) + 1 x (irr-D4-56a)
vtx-D04-268-36-18-b	Δ = 268	bi.bi = 36	b0.bi = 18	hypers = 9 x (irr-D4-8b) + 6 x (irr-D4-28) + 1 x (irr-D4-56b)
vtx-D04-268-64-24-a	Δ = 268	bi.bi = 64	b0.bi = 24	hypers = 2 x (irr-D4-8a) + 1 x (irr-D4-28) + 2 x (irr-D4-35a) + 2 x (irr-D4-35b) + 2 x (irr-D4-56a)
vtx-D04-268-64-24-b	Δ = 268	bi.bi = 64	b0.bi = 24	hypers = 2 x (irr-D4-8b) + 1 x (irr-D4-28) + 1 x (irr-D4-35a) + 3 x (irr-D4-35b) + 2 x (irr-D4-56b)
vtx-D04-269-49-21	Δ = 269	bi.bi = 49	b0.bi = 21	hypers = 1 x (irr-D4-8a) + 2 x (irr-D4-8b) + 6 x (irr-D4-28) + 1 x (irr-D4-35a) + 2 x (irr-D4-35b)
vtx-D04-269-64-24-a	Δ = 269	bi.bi = 64	b0.bi = 24	hypers = 3 x (irr-D4-8a) + 2 x (irr-D4-35a) + 1 x (irr-D4-35b) + 3 x (irr-D4-56a)
vtx-D04-269-64-24-b	Δ = 269	bi.bi = 64	b0.bi = 24	hypers = 1 x (irr-D4-8a) + 2 x (irr-D4-8b) + 1 x (irr-D4-35a) + 2 x (irr-D4-35b) + 1 x (irr-D4-56a) + 2 x (irr-D4-56b)
