vtx-G02-77-1-3	Δ = 77	bi.bi = 1	b0.bi = 3	hypers = 13 x (irr-G2-7)
vtx-G02-140-4-6	Δ = 140	bi.bi = 4	b0.bi = 6	hypers = 22 x (irr-G2-7)
vtx-G02-189-9-9	Δ = 189	bi.bi = 9	b0.bi = 9	hypers = 27 x (irr-G2-7) + 1 x (irr-G2-14)
vtx-G02-224-16-12	Δ = 224	bi.bi = 16	b0.bi = 12	hypers = 28 x (irr-G2-7) + 3 x (irr-G2-14)
vtx-G02-230-16-12	Δ = 230	bi.bi = 16	b0.bi = 12	hypers = 31 x (irr-G2-7) + 1 x (irr-G2-27)
vtx-G02-242-64-24	Δ = 242	bi.bi = 64	b0.bi = 24	hypers = 1 x (irr-G2-7) + 12 x (irr-G2-14) + 3 x (irr-G2-27)
vtx-G02-243-81-27	Δ = 243	bi.bi = 81	b0.bi = 27	hypers = 1 x (irr-G2-14) + 9 x (irr-G2-27)
vtx-G02-245-25-15	Δ = 245	bi.bi = 25	b0.bi = 15	hypers = 25 x (irr-G2-7) + 6 x (irr-G2-14)
vtx-G02-245-49-21	Δ = 245	bi.bi = 49	b0.bi = 21	hypers = 7 x (irr-G2-7) + 15 x (irr-G2-14)
vtx-G02-248-64-24	Δ = 248	bi.bi = 64	b0.bi = 24	hypers = 4 x (irr-G2-7) + 9 x (irr-G2-14) + 4 x (irr-G2-27)
vtx-G02-251-25-15	Δ = 251	bi.bi = 25	b0.bi = 15	hypers = 28 x (irr-G2-7) + 3 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-251-49-21	Δ = 251	bi.bi = 49	b0.bi = 21	hypers = 10 x (irr-G2-7) + 12 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-252-36-18	Δ = 252	bi.bi = 36	b0.bi = 18	hypers = 18 x (irr-G2-7) + 10 x (irr-G2-14)
vtx-G02-254-64-24	Δ = 254	bi.bi = 64	b0.bi = 24	hypers = 7 x (irr-G2-7) + 6 x (irr-G2-14) + 5 x (irr-G2-27)
vtx-G02-257-25-15	Δ = 257	bi.bi = 25	b0.bi = 15	hypers = 31 x (irr-G2-7) + 2 x (irr-G2-27)
vtx-G02-257-49-21	Δ = 257	bi.bi = 49	b0.bi = 21	hypers = 13 x (irr-G2-7) + 9 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-258-36-18	Δ = 258	bi.bi = 36	b0.bi = 18	hypers = 21 x (irr-G2-7) + 7 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-260-64-24	Δ = 260	bi.bi = 64	b0.bi = 24	hypers = 10 x (irr-G2-7) + 3 x (irr-G2-14) + 6 x (irr-G2-27)
vtx-G02-263-49-21	Δ = 263	bi.bi = 49	b0.bi = 21	hypers = 16 x (irr-G2-7) + 6 x (irr-G2-14) + 3 x (irr-G2-27)
vtx-G02-264-36-18	Δ = 264	bi.bi = 36	b0.bi = 18	hypers = 24 x (irr-G2-7) + 4 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-264-144-36	Δ = 264	bi.bi = 144	b0.bi = 36	hypers = 3 x (irr-G2-14) + 4 x (irr-G2-27) + 2 x (irr-G2-64)
vtx-G02-266-64-24	Δ = 266	bi.bi = 64	b0.bi = 24	hypers = 13 x (irr-G2-7) + 7 x (irr-G2-27)
vtx-G02-266-100-30	Δ = 266	bi.bi = 100	b0.bi = 30	hypers = 1 x (irr-G2-7) + 13 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-269-49-21	Δ = 269	bi.bi = 49	b0.bi = 21	hypers = 19 x (irr-G2-7) + 3 x (irr-G2-14) + 4 x (irr-G2-27)
vtx-G02-269-169-39	Δ = 269	bi.bi = 169	b0.bi = 39	hypers = 1 x (irr-G2-7) + 6 x (irr-G2-14) + 3 x (irr-G2-64)
vtx-G02-270-36-18	Δ = 270	bi.bi = 36	b0.bi = 18	hypers = 27 x (irr-G2-7) + 1 x (irr-G2-14) + 3 x (irr-G2-27)
vtx-G02-270-144-36	Δ = 270	bi.bi = 144	b0.bi = 36	hypers = 3 x (irr-G2-7) + 5 x (irr-G2-27) + 2 x (irr-G2-64)
