mdl-(0,6,0)-222-0991A723B4F4FF1B	vertices = (vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 222	bI-odd = ()	bI-even = ([[2,2],[1,0],[1,0],[1,0],[0,1],[0,1],[0,1]])	(1) : 4 x (irr-A3-4) + 2 x (irr-A3-6)	(2) : 4 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 4 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 4 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 4 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 4 x (irr-A3-4) + 2 x (irr-A3-6)	(1,4) : 1 x (irr-A3-4, irr-A3-4)	(1,5) : 1 x (irr-A3-4, irr-A3-4)	(1,6) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A3-4)	(2,6) : 1 x (irr-A3-4, irr-A3-4)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-A3-4)	(3,6) : 1 x (irr-A3-4, irr-A3-4)
mdl-(0,6,0)-222-54EAFE03C919EF0C	vertices = (vtx-A03-61-0-2, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-A03-61-0-2, vtx-C03-89-0-2, vtx-C03-89-0-2)	Δ = 222	bI-odd = ()	bI-even = ([[2,2],[1,0],[1,0],[1,0],[0,1],[0,1],[0,1]])	(1) : 2 x (irr-A3-6)	(2) : 1 x (irr-C3-14a)	(3) : 1 x (irr-C3-14a)	(4) : 2 x (irr-A3-6)	(5) : 1 x (irr-C3-14a)	(6) : 1 x (irr-C3-14a)	(1,4) : 1 x (irr-A3-4, irr-A3-4)	(1,5) : 1 x (irr-A3-4, irr-C3-6-q)	(1,6) : 1 x (irr-A3-4, irr-C3-6-q)	(2,4) : 1 x (irr-C3-6-q, irr-A3-4)	(2,5) : 1 x (irr-C3-6-q, irr-C3-6-q)	(2,6) : 1 x (irr-C3-6-q, irr-C3-6-q)	(3,4) : 1 x (irr-C3-6-q, irr-A3-4)	(3,5) : 1 x (irr-C3-6-q, irr-C3-6-q)	(3,6) : 1 x (irr-C3-6-q, irr-C3-6-q)
mdl-(0,6,0)-224-85E666455B26270D	vertices = (vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-C04-119-0-2, vtx-A03-61-0-2, vtx-C03-89-0-2, vtx-C03-89-0-2)	Δ = 224	bI-odd = ()	bI-even = ([[2,2],[1,0],[1,0],[1,0],[0,1],[0,1],[0,1]])	(1) : 2 x (irr-A3-6)	(2) : 2 x (irr-A3-6)	(3) : 1 x (irr-C4-27)	(4) : 2 x (irr-A3-6)	(5) : 1 x (irr-C3-14a)	(6) : 1 x (irr-C3-14a)	(1,4) : 1 x (irr-A3-4, irr-A3-4)	(1,5) : 1 x (irr-A3-4, irr-C3-6-q)	(1,6) : 1 x (irr-A3-4, irr-C3-6-q)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-C3-6-q)	(2,6) : 1 x (irr-A3-4, irr-C3-6-q)	(3,4) : 1 x (irr-C4-8-q, irr-A3-4)	(3,5) : 1 x (irr-C4-8-q, irr-C3-6-q)	(3,6) : 1 x (irr-C4-8-q, irr-C3-6-q)
mdl-(0,6,0)-224-12731FF3FAB26142	vertices = (vtx-A03-61-0-2, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-A03-61-0-2, vtx-C03-89-0-2, vtx-A05-91-0-2)	Δ = 224	bI-odd = ()	bI-even = ([[2,2],[0,1],[0,1],[0,1],[1,0],[1,0],[1,0]])	(1) : 2 x (irr-A3-6)	(2) : 1 x (irr-C3-14a)	(3) : 1 x (irr-C3-14a)	(4) : 2 x (irr-A3-6)	(5) : 1 x (irr-C3-14a)	(6) : 2 x (irr-A5-15)	(1,4) : 1 x (irr-A3-4, irr-A3-4)	(1,5) : 1 x (irr-A3-4, irr-C3-6-q)	(1,6) : 1 x (irr-A3-4, irr-A5-6)	(2,4) : 1 x (irr-C3-6-q, irr-A3-4)	(2,5) : 1 x (irr-C3-6-q, irr-C3-6-q)	(2,6) : 1 x (irr-C3-6-q, irr-A5-6)	(3,4) : 1 x (irr-C3-6-q, irr-A3-4)	(3,5) : 1 x (irr-C3-6-q, irr-C3-6-q)	(3,6) : 1 x (irr-C3-6-q, irr-A5-6)
mdl-(0,6,0)-224-D12B479A3E366045	vertices = (vtx-A03-61-0-2, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-A03-61-0-2, vtx-C03-89-0-2, vtx-C03-91-0-2)	Δ = 224	bI-odd = ()	bI-even = ([[2,2],[1,0],[1,0],[1,0],[0,1],[0,1],[0,1]])	(1) : 2 x (irr-A3-6)	(2) : 1 x (irr-C3-14a)	(3) : 1 x (irr-C3-14a)	(4) : 2 x (irr-A3-6)	(5) : 1 x (irr-C3-14a)	(6) : 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,4) : 1 x (irr-A3-4, irr-A3-4)	(1,5) : 1 x (irr-A3-4, irr-C3-6-q)	(1,6) : 1 x (irr-A3-4, irr-C3-6-q)	(2,4) : 1 x (irr-C3-6-q, irr-A3-4)	(2,5) : 1 x (irr-C3-6-q, irr-C3-6-q)	(2,6) : 1 x (irr-C3-6-q, irr-C3-6-q)	(3,4) : 1 x (irr-C3-6-q, irr-A3-4)	(3,5) : 1 x (irr-C3-6-q, irr-C3-6-q)	(3,6) : 1 x (irr-C3-6-q, irr-C3-6-q)
mdl-(0,6,0)-224-B24BDFB5D6832DE8	vertices = (vtx-A03-61-0-2, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-A04-76-0-2, vtx-A04-76-0-2, vtx-C03-89-0-2)	Δ = 224	bI-odd = ()	bI-even = ([[2,2],[1,0],[1,0],[1,0],[0,1],[0,1],[0,1]])	(1) : 2 x (irr-A3-6)	(2) : 1 x (irr-C3-14a)	(3) : 1 x (irr-C3-14a)	(4) : 2 x (irr-A4-10)	(5) : 2 x (irr-A4-10)	(6) : 1 x (irr-C3-14a)	(1,4) : 1 x (irr-A3-4, irr-A4-5)	(1,5) : 1 x (irr-A3-4, irr-A4-5)	(1,6) : 1 x (irr-A3-4, irr-C3-6-q)	(2,4) : 1 x (irr-C3-6-q, irr-A4-5)	(2,5) : 1 x (irr-C3-6-q, irr-A4-5)	(2,6) : 1 x (irr-C3-6-q, irr-C3-6-q)	(3,4) : 1 x (irr-C3-6-q, irr-A4-5)	(3,5) : 1 x (irr-C3-6-q, irr-A4-5)	(3,6) : 1 x (irr-C3-6-q, irr-C3-6-q)
mdl-(0,6,0)-225-87C53F4ACACEEE79	vertices = (vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A04-76-0-2)	Δ = 225	bI-odd = ()	bI-even = ([[2,2],[1,0],[1,0],[1,0],[0,1],[0,1],[0,1]])	(1) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(2) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 4 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 4 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 4 x (irr-A4-5) + 2 x (irr-A4-10)	(1,4) : 1 x (irr-A3-4, irr-A3-4)	(1,5) : 1 x (irr-A3-4, irr-A3-4)	(1,6) : 1 x (irr-A3-4, irr-A4-5)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A3-4)	(2,6) : 1 x (irr-A3-4, irr-A4-5)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-A3-4)	(3,6) : 1 x (irr-A3-4, irr-A4-5)
mdl-(0,6,0)-225-2BD24C4ED9A061E6	vertices = (vtx-A03-61-0-2, vtx-A04-76-0-2, vtx-C03-89-0-2, vtx-A03-61-0-2, vtx-C03-89-0-2, vtx-C03-89-0-2)	Δ = 225	bI-odd = ()	bI-even = ([[2,2],[1,0],[1,0],[1,0],[0,1],[0,1],[0,1]])	(1) : 2 x (irr-A3-6)	(2) : 2 x (irr-A4-10)	(3) : 1 x (irr-C3-14a)	(4) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 1 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(6) : 1 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(1,4) : 1 x (irr-A3-4, irr-A3-4)	(1,5) : 1 x (irr-A3-4, irr-C3-6-q)	(1,6) : 1 x (irr-A3-4, irr-C3-6-q)	(2,4) : 1 x (irr-A4-5, irr-A3-4)	(2,5) : 1 x (irr-A4-5, irr-C3-6-q)	(2,6) : 1 x (irr-A4-5, irr-C3-6-q)	(3,4) : 1 x (irr-C3-6-q, irr-A3-4)	(3,5) : 1 x (irr-C3-6-q, irr-C3-6-q)	(3,6) : 1 x (irr-C3-6-q, irr-C3-6-q)
mdl-(0,6,0)-225-7AB25543D0EDB654	vertices = (vtx-A03-61-0-2, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-A03-61-0-2, vtx-C03-89-0-2, vtx-A05-92-0-2)	Δ = 225	bI-odd = ()	bI-even = ([[2,2],[0,1],[0,1],[0,1],[1,0],[1,0],[1,0]])	(1) : 2 x (irr-A3-6)	(2) : 1 x (irr-C3-14a)	(3) : 1 x (irr-C3-14a)	(4) : 2 x (irr-A3-6)	(5) : 1 x (irr-C3-14a)	(6) : 1 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 1 x (irr-A5-15)	(1,4) : 1 x (irr-A3-4, irr-A3-4)	(1,5) : 1 x (irr-A3-4, irr-C3-6-q)	(1,6) : 1 x (irr-A3-4, irr-A5-6)	(2,4) : 1 x (irr-C3-6-q, irr-A3-4)	(2,5) : 1 x (irr-C3-6-q, irr-C3-6-q)	(2,6) : 1 x (irr-C3-6-q, irr-A5-6)	(3,4) : 1 x (irr-C3-6-q, irr-A3-4)	(3,5) : 1 x (irr-C3-6-q, irr-C3-6-q)	(3,6) : 1 x (irr-C3-6-q, irr-A5-6)
mdl-(0,6,0)-226-BEE7411C866EDBD7	vertices = (vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-C03-89-0-2)	Δ = 226	bI-odd = ()	bI-even = ([[2,2],[1,0],[1,0],[1,0],[0,1],[0,1],[0,1]])	(1) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(2) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 4 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 4 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 4 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(1,4) : 1 x (irr-A3-4, irr-A3-4)	(1,5) : 1 x (irr-A3-4, irr-A3-4)	(1,6) : 1 x (irr-A3-4, irr-C3-6-q)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A3-4)	(2,6) : 1 x (irr-A3-4, irr-C3-6-q)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-A3-4)	(3,6) : 1 x (irr-A3-4, irr-C3-6-q)
