mdl-(0,7,0)-227-0672CBC21DC5B3C7	vertices = (vtx-A03-61-0-2, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 227	bI-odd = ()	bI-even = ([[2,2],[0,1],[0,1],[0,1],[1,0],[1,0],[1,0],[1,0]])	(1) : 2 x (irr-A3-6)	(2) : 1 x (irr-C3-14a)	(3) : 1 x (irr-C3-14a)	(4) : 2 x (irr-A3-6)	(5) : 2 x (irr-A3-6)	(6) : 2 x (irr-A3-6)	(7) : 2 x (irr-A3-6)	(1,4) : 1 x (irr-A3-4, irr-A3-4)	(1,5) : 1 x (irr-A3-4, irr-A3-4)	(1,6) : 1 x (irr-A3-4, irr-A3-4)	(1,7) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-C3-6-q, irr-A3-4)	(2,5) : 1 x (irr-C3-6-q, irr-A3-4)	(2,6) : 1 x (irr-C3-6-q, irr-A3-4)	(2,7) : 1 x (irr-C3-6-q, irr-A3-4)	(3,4) : 1 x (irr-C3-6-q, irr-A3-4)	(3,5) : 1 x (irr-C3-6-q, irr-A3-4)	(3,6) : 1 x (irr-C3-6-q, irr-A3-4)	(3,7) : 1 x (irr-C3-6-q, irr-A3-4)
mdl-(0,7,0)-229-B708C33759FB3269	vertices = (vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-C04-119-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 229	bI-odd = ()	bI-even = ([[2,2],[0,1],[0,1],[0,1],[1,0],[1,0],[1,0],[1,0]])	(1) : 2 x (irr-A3-6)	(2) : 2 x (irr-A3-6)	(3) : 1 x (irr-C4-27)	(4) : 2 x (irr-A3-6)	(5) : 2 x (irr-A3-6)	(6) : 2 x (irr-A3-6)	(7) : 2 x (irr-A3-6)	(1,4) : 1 x (irr-A3-4, irr-A3-4)	(1,5) : 1 x (irr-A3-4, irr-A3-4)	(1,6) : 1 x (irr-A3-4, irr-A3-4)	(1,7) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A3-4)	(2,6) : 1 x (irr-A3-4, irr-A3-4)	(2,7) : 1 x (irr-A3-4, irr-A3-4)	(3,4) : 1 x (irr-C4-8-q, irr-A3-4)	(3,5) : 1 x (irr-C4-8-q, irr-A3-4)	(3,6) : 1 x (irr-C4-8-q, irr-A3-4)	(3,7) : 1 x (irr-C4-8-q, irr-A3-4)
mdl-(0,7,0)-229-00355F47BBF4C69D	vertices = (vtx-A03-61-0-2, vtx-C03-89-0-2, vtx-A05-91-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 229	bI-odd = ()	bI-even = ([[2,2],[0,1],[0,1],[0,1],[1,0],[1,0],[1,0],[1,0]])	(1) : 2 x (irr-A3-6)	(2) : 1 x (irr-C3-14a)	(3) : 2 x (irr-A5-15)	(4) : 2 x (irr-A3-6)	(5) : 2 x (irr-A3-6)	(6) : 2 x (irr-A3-6)	(7) : 2 x (irr-A3-6)	(1,4) : 1 x (irr-A3-4, irr-A3-4)	(1,5) : 1 x (irr-A3-4, irr-A3-4)	(1,6) : 1 x (irr-A3-4, irr-A3-4)	(1,7) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-C3-6-q, irr-A3-4)	(2,5) : 1 x (irr-C3-6-q, irr-A3-4)	(2,6) : 1 x (irr-C3-6-q, irr-A3-4)	(2,7) : 1 x (irr-C3-6-q, irr-A3-4)	(3,4) : 1 x (irr-A5-6, irr-A3-4)	(3,5) : 1 x (irr-A5-6, irr-A3-4)	(3,6) : 1 x (irr-A5-6, irr-A3-4)	(3,7) : 1 x (irr-A5-6, irr-A3-4)
mdl-(0,7,0)-229-DC2517580AB01566	vertices = (vtx-A03-61-0-2, vtx-C03-89-0-2, vtx-C03-91-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 229	bI-odd = ()	bI-even = ([[2,2],[0,1],[0,1],[0,1],[1,0],[1,0],[1,0],[1,0]])	(1) : 2 x (irr-A3-6)	(2) : 1 x (irr-C3-14a)	(3) : 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(4) : 2 x (irr-A3-6)	(5) : 2 x (irr-A3-6)	(6) : 2 x (irr-A3-6)	(7) : 2 x (irr-A3-6)	(1,4) : 1 x (irr-A3-4, irr-A3-4)	(1,5) : 1 x (irr-A3-4, irr-A3-4)	(1,6) : 1 x (irr-A3-4, irr-A3-4)	(1,7) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-C3-6-q, irr-A3-4)	(2,5) : 1 x (irr-C3-6-q, irr-A3-4)	(2,6) : 1 x (irr-C3-6-q, irr-A3-4)	(2,7) : 1 x (irr-C3-6-q, irr-A3-4)	(3,4) : 1 x (irr-C3-6-q, irr-A3-4)	(3,5) : 1 x (irr-C3-6-q, irr-A3-4)	(3,6) : 1 x (irr-C3-6-q, irr-A3-4)	(3,7) : 1 x (irr-C3-6-q, irr-A3-4)
mdl-(0,7,0)-229-D3E77B486D52786B	vertices = (vtx-A04-76-0-2, vtx-A04-76-0-2, vtx-C03-89-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 229	bI-odd = ()	bI-even = ([[2,2],[0,1],[0,1],[0,1],[1,0],[1,0],[1,0],[1,0]])	(1) : 2 x (irr-A4-10)	(2) : 2 x (irr-A4-10)	(3) : 1 x (irr-C3-14a)	(4) : 2 x (irr-A3-6)	(5) : 2 x (irr-A3-6)	(6) : 2 x (irr-A3-6)	(7) : 2 x (irr-A3-6)	(1,4) : 1 x (irr-A4-5, irr-A3-4)	(1,5) : 1 x (irr-A4-5, irr-A3-4)	(1,6) : 1 x (irr-A4-5, irr-A3-4)	(1,7) : 1 x (irr-A4-5, irr-A3-4)	(2,4) : 1 x (irr-A4-5, irr-A3-4)	(2,5) : 1 x (irr-A4-5, irr-A3-4)	(2,6) : 1 x (irr-A4-5, irr-A3-4)	(2,7) : 1 x (irr-A4-5, irr-A3-4)	(3,4) : 1 x (irr-C3-6-q, irr-A3-4)	(3,5) : 1 x (irr-C3-6-q, irr-A3-4)	(3,6) : 1 x (irr-C3-6-q, irr-A3-4)	(3,7) : 1 x (irr-C3-6-q, irr-A3-4)
mdl-(0,7,0)-230-9AC6A26D23DE1D8A	vertices = (vtx-A03-61-0-2, vtx-A04-76-0-2, vtx-C03-89-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 230	bI-odd = ()	bI-even = ([[2,2],[0,1],[0,1],[0,1],[1,0],[1,0],[1,0],[1,0]])	(1) : 2 x (irr-A3-6)	(2) : 2 x (irr-A4-10)	(3) : 1 x (irr-C3-14a)	(4) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(7) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(1,4) : 1 x (irr-A3-4, irr-A3-4)	(1,5) : 1 x (irr-A3-4, irr-A3-4)	(1,6) : 1 x (irr-A3-4, irr-A3-4)	(1,7) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A4-5, irr-A3-4)	(2,5) : 1 x (irr-A4-5, irr-A3-4)	(2,6) : 1 x (irr-A4-5, irr-A3-4)	(2,7) : 1 x (irr-A4-5, irr-A3-4)	(3,4) : 1 x (irr-C3-6-q, irr-A3-4)	(3,5) : 1 x (irr-C3-6-q, irr-A3-4)	(3,6) : 1 x (irr-C3-6-q, irr-A3-4)	(3,7) : 1 x (irr-C3-6-q, irr-A3-4)
mdl-(0,7,0)-230-C735C50035C76446	vertices = (vtx-A03-61-0-2, vtx-C03-89-0-2, vtx-A05-92-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 230	bI-odd = ()	bI-even = ([[2,2],[0,1],[0,1],[0,1],[1,0],[1,0],[1,0],[1,0]])	(1) : 2 x (irr-A3-6)	(2) : 1 x (irr-C3-14a)	(3) : 1 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 1 x (irr-A5-15)	(4) : 2 x (irr-A3-6)	(5) : 2 x (irr-A3-6)	(6) : 2 x (irr-A3-6)	(7) : 2 x (irr-A3-6)	(1,4) : 1 x (irr-A3-4, irr-A3-4)	(1,5) : 1 x (irr-A3-4, irr-A3-4)	(1,6) : 1 x (irr-A3-4, irr-A3-4)	(1,7) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-C3-6-q, irr-A3-4)	(2,5) : 1 x (irr-C3-6-q, irr-A3-4)	(2,6) : 1 x (irr-C3-6-q, irr-A3-4)	(2,7) : 1 x (irr-C3-6-q, irr-A3-4)	(3,4) : 1 x (irr-A5-6, irr-A3-4)	(3,5) : 1 x (irr-A5-6, irr-A3-4)	(3,6) : 1 x (irr-A5-6, irr-A3-4)	(3,7) : 1 x (irr-A5-6, irr-A3-4)
mdl-(0,7,0)-231-51A0C993C6CA17ED	vertices = (vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-C03-89-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 231	bI-odd = ()	bI-even = ([[2,2],[1,0],[1,0],[1,0],[0,1],[0,1],[0,1],[0,1]])	(1) : 2 x (irr-A3-6)	(2) : 2 x (irr-A3-6)	(3) : 1 x (irr-C3-14a)	(4) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(7) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(1,4) : 1 x (irr-A3-4, irr-A3-4)	(1,5) : 1 x (irr-A3-4, irr-A3-4)	(1,6) : 1 x (irr-A3-4, irr-A3-4)	(1,7) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A3-4)	(2,6) : 1 x (irr-A3-4, irr-A3-4)	(2,7) : 1 x (irr-A3-4, irr-A3-4)	(3,4) : 1 x (irr-C3-6-q, irr-A3-4)	(3,5) : 1 x (irr-C3-6-q, irr-A3-4)	(3,6) : 1 x (irr-C3-6-q, irr-A3-4)	(3,7) : 1 x (irr-C3-6-q, irr-A3-4)
mdl-(0,7,0)-231-AC8345962D50D132	vertices = (vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A07-121-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 231	bI-odd = ()	bI-even = ([[2,2],[1,0],[1,0],[1,0],[0,1],[0,1],[0,1],[0,1]])	(1) : 2 x (irr-A3-6)	(2) : 2 x (irr-A3-6)	(3) : 2 x (irr-A7-28)	(4) : 2 x (irr-A3-6)	(5) : 2 x (irr-A3-6)	(6) : 2 x (irr-A3-6)	(7) : 2 x (irr-A3-6)	(1,4) : 1 x (irr-A3-4, irr-A3-4)	(1,5) : 1 x (irr-A3-4, irr-A3-4)	(1,6) : 1 x (irr-A3-4, irr-A3-4)	(1,7) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A3-4)	(2,6) : 1 x (irr-A3-4, irr-A3-4)	(2,7) : 1 x (irr-A3-4, irr-A3-4)	(3,4) : 1 x (irr-A7-8, irr-A3-4)	(3,5) : 1 x (irr-A7-8, irr-A3-4)	(3,6) : 1 x (irr-A7-8, irr-A3-4)	(3,7) : 1 x (irr-A7-8, irr-A3-4)
mdl-(0,7,0)-231-DC01D9231736F960	vertices = (vtx-A03-61-0-2, vtx-A04-76-0-2, vtx-A06-106-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 231	bI-odd = ()	bI-even = ([[2,2],[0,1],[0,1],[0,1],[1,0],[1,0],[1,0],[1,0]])	(1) : 2 x (irr-A3-6)	(2) : 2 x (irr-A4-10)	(3) : 2 x (irr-A6-21)	(4) : 2 x (irr-A3-6)	(5) : 2 x (irr-A3-6)	(6) : 2 x (irr-A3-6)	(7) : 2 x (irr-A3-6)	(1,4) : 1 x (irr-A3-4, irr-A3-4)	(1,5) : 1 x (irr-A3-4, irr-A3-4)	(1,6) : 1 x (irr-A3-4, irr-A3-4)	(1,7) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A4-5, irr-A3-4)	(2,5) : 1 x (irr-A4-5, irr-A3-4)	(2,6) : 1 x (irr-A4-5, irr-A3-4)	(2,7) : 1 x (irr-A4-5, irr-A3-4)	(3,4) : 1 x (irr-A6-7, irr-A3-4)	(3,5) : 1 x (irr-A6-7, irr-A3-4)	(3,6) : 1 x (irr-A6-7, irr-A3-4)	(3,7) : 1 x (irr-A6-7, irr-A3-4)
mdl-(0,7,0)-231-D7AC97EBD7C4113E	vertices = (vtx-A03-61-0-2, vtx-C03-89-0-2, vtx-A05-93-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 231	bI-odd = ()	bI-even = ([[2,2],[1,0],[1,0],[1,0],[0,1],[0,1],[0,1],[0,1]])	(1) : 2 x (irr-A3-6)	(2) : 1 x (irr-C3-14a)	(3) : 2 x (irr-A5-6) + 1 x (irr-A5-20-q)	(4) : 2 x (irr-A3-6)	(5) : 2 x (irr-A3-6)	(6) : 2 x (irr-A3-6)	(7) : 2 x (irr-A3-6)	(1,4) : 1 x (irr-A3-4, irr-A3-4)	(1,5) : 1 x (irr-A3-4, irr-A3-4)	(1,6) : 1 x (irr-A3-4, irr-A3-4)	(1,7) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-C3-6-q, irr-A3-4)	(2,5) : 1 x (irr-C3-6-q, irr-A3-4)	(2,6) : 1 x (irr-C3-6-q, irr-A3-4)	(2,7) : 1 x (irr-C3-6-q, irr-A3-4)	(3,4) : 1 x (irr-A5-6, irr-A3-4)	(3,5) : 1 x (irr-A5-6, irr-A3-4)	(3,6) : 1 x (irr-A5-6, irr-A3-4)	(3,7) : 1 x (irr-A5-6, irr-A3-4)
