mdl-(1,0,6)-231-7A0125BBCA215C1B	vertices = (vtx-A07-n27-n1-n1, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3)	Δ = 231	bI-odd = ([[3,1],[0,1],[1,0],[1,0],[1,0],[1,0],[1,0],[1,0]])	bI-even = ()	(1) : 1 x (irr-A7-36)	(2) : 3 x (irr-A3-6)	(3) : 3 x (irr-A3-6)	(4) : 3 x (irr-A3-6)	(5) : 3 x (irr-A3-6)	(6) : 3 x (irr-A3-6)	(7) : 3 x (irr-A3-6)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A3-4)	(2,6) : 1 x (irr-A3-4, irr-A3-4)	(2,7) : 1 x (irr-A3-4, irr-A3-4)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-A3-4)	(3,6) : 1 x (irr-A3-4, irr-A3-4)	(3,7) : 1 x (irr-A3-4, irr-A3-4)	(4,5) : 1 x (irr-A3-4, irr-A3-4)	(4,6) : 1 x (irr-A3-4, irr-A3-4)	(4,7) : 1 x (irr-A3-4, irr-A3-4)	(5,6) : 1 x (irr-A3-4, irr-A3-4)	(5,7) : 1 x (irr-A3-4, irr-A3-4)	(6,7) : 1 x (irr-A3-4, irr-A3-4)
mdl-(1,0,6)-237-4A14E97565313EEE	vertices = (vtx-A07-n27-n1-n1, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-C03-115-1-3, vtx-A03-149-4-6)	Δ = 237	bI-odd = ([[3,1],[0,1],[1,0],[1,0],[1,0],[1,0],[1,0],[2,0]])	bI-even = ()	(1) : 1 x (irr-A7-36)	(6) : 2 x (irr-C3-14a)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A3-4)	(2,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(2,7) : 2 x (irr-A3-4, irr-A3-4)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-A3-4)	(3,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(3,7) : 2 x (irr-A3-4, irr-A3-4)	(4,5) : 1 x (irr-A3-4, irr-A3-4)	(4,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,7) : 2 x (irr-A3-4, irr-A3-4)	(5,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(5,7) : 2 x (irr-A3-4, irr-A3-4)	(6,7) : 1 x (irr-C3-6-q, irr-A3-6)
mdl-(1,0,6)-239-75657BD85C087422	vertices = (vtx-A07-n27-n1-n1, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-C03-117-1-3, vtx-A03-149-4-6)	Δ = 239	bI-odd = ([[3,1],[0,1],[1,0],[1,0],[1,0],[1,0],[1,0],[2,0]])	bI-even = ()	(1) : 1 x (irr-A7-36)	(6) : 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q) + 1 x (irr-C3-14a)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A3-4)	(2,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(2,7) : 2 x (irr-A3-4, irr-A3-4)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-A3-4)	(3,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(3,7) : 2 x (irr-A3-4, irr-A3-4)	(4,5) : 1 x (irr-A3-4, irr-A3-4)	(4,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,7) : 2 x (irr-A3-4, irr-A3-4)	(5,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(5,7) : 2 x (irr-A3-4, irr-A3-4)	(6,7) : 1 x (irr-C3-6-q, irr-A3-6)
mdl-(1,0,6)-240-9376410E83807099	vertices = (vtx-A07-n27-n1-n1, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-C03-117-1-3, vtx-G02-140-4-6)	Δ = 240	bI-odd = ([[3,1],[0,1],[1,0],[1,0],[1,0],[1,0],[1,0],[2,0]])	bI-even = ()	(1) : 1 x (irr-A7-36)	(2) : 1 x (irr-A3-4)	(3) : 1 x (irr-A3-4)	(4) : 1 x (irr-A3-4)	(5) : 1 x (irr-A3-4)	(6) : 0.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q) + 1 x (irr-C3-14a)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A3-4)	(2,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(2,7) : 1 x (irr-A3-4, irr-G2-7)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-A3-4)	(3,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(3,7) : 1 x (irr-A3-4, irr-G2-7)	(4,5) : 1 x (irr-A3-4, irr-A3-4)	(4,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,7) : 1 x (irr-A3-4, irr-G2-7)	(5,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(5,7) : 1 x (irr-A3-4, irr-G2-7)	(6,7) : 1 x (irr-C3-6-q, irr-G2-7)
mdl-(1,0,6)-240-B05BC2AA97669E99	vertices = (vtx-A07-n27-n1-n1, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-C03-117-1-3, vtx-B03-156-4-6)	Δ = 240	bI-odd = ([[3,1],[0,1],[1,0],[1,0],[1,0],[1,0],[1,0],[2,0]])	bI-even = ()	(1) : 1 x (irr-A7-36)	(6) : 0.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q) + 1 x (irr-C3-14a)	(7) : 1 x (irr-B3-7)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A3-4)	(2,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(2,7) : 1 x (irr-A3-4, irr-B3-8)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-A3-4)	(3,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(3,7) : 1 x (irr-A3-4, irr-B3-8)	(4,5) : 1 x (irr-A3-4, irr-A3-4)	(4,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,7) : 1 x (irr-A3-4, irr-B3-8)	(5,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(5,7) : 1 x (irr-A3-4, irr-B3-8)	(6,7) : 1 x (irr-C3-6-q, irr-B3-7)
mdl-(1,0,6)-241-7352A573B85D662F	vertices = (vtx-A07-n27-n1-n1, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-C03-117-1-3, vtx-C03-119-1-3)	Δ = 241	bI-odd = ([[3,1],[0,1],[1,0],[1,0],[1,0],[1,0],[1,0],[1,0]])	bI-even = ()	(1) : 1 x (irr-A7-36)	(2) : 2 x (irr-A3-4)	(3) : 2 x (irr-A3-4)	(4) : 2 x (irr-A3-4)	(5) : 2 x (irr-A3-4)	(6) : 0.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q) + 1 x (irr-C3-14a)	(7) : 1 x (irr-C3-14b-q)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A3-4)	(2,6) : 1 x (irr-A3-4, irr-C3-6-q)	(2,7) : 0.5 x (irr-A3-6, irr-C3-6-q)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-A3-4)	(3,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(3,7) : 1 x (irr-A3-4, irr-C3-6-q)	(4,5) : 1 x (irr-A3-4, irr-A3-4)	(4,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,7) : 1 x (irr-A3-4, irr-C3-6-q)	(5,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(5,7) : 1 x (irr-A3-4, irr-C3-6-q)	(6,7) : 1 x (irr-C3-6-q, irr-C3-6-q)
mdl-(1,0,6)-241-639331BD405D13F9	vertices = (vtx-A07-n27-n1-n1, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-C03-117-1-3, vtx-A06-141-1-3)	Δ = 241	bI-odd = ([[3,1],[0,1],[1,0],[1,0],[1,0],[1,0],[1,0],[1,0]])	bI-even = ()	(1) : 1 x (irr-A7-36)	(2) : 1 x (irr-A3-4)	(3) : 1 x (irr-A3-4)	(4) : 1 x (irr-A3-4)	(5) : 1 x (irr-A3-4)	(6) : 0.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q) + 1 x (irr-C3-14a)	(7) : 1 x (irr-A6-35)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A3-4)	(2,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(2,7) : 1 x (irr-A3-4, irr-A6-7)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-A3-4)	(3,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(3,7) : 1 x (irr-A3-4, irr-A6-7)	(4,5) : 1 x (irr-A3-4, irr-A3-4)	(4,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,7) : 1 x (irr-A3-4, irr-A6-7)	(5,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(5,7) : 1 x (irr-A3-4, irr-A6-7)	(6,7) : 1 x (irr-C3-6-q, irr-A6-7)
mdl-(1,0,6)-241-7176C009378C6643	vertices = (vtx-A07-n27-n1-n1, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-C03-117-1-3, vtx-B03-156-4-6)	Δ = 241	bI-odd = ([[3,1],[0,1],[1,0],[1,0],[1,0],[1,0],[1,0],[2,0]])	bI-even = ()	(1) : 1 x (irr-A7-36)	(5) : 1 x (irr-A3-4)	(6) : 0.5 x (irr-C3-14b-q) + 1 x (irr-C3-14a)	(7) : 1 x (irr-B3-8)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A3-4)	(2,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(2,7) : 1 x (irr-A3-4, irr-B3-8)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-A3-4)	(3,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(3,7) : 1 x (irr-A3-4, irr-B3-8)	(4,5) : 1 x (irr-A3-4, irr-A3-4)	(4,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,7) : 1 x (irr-A3-4, irr-B3-8)	(5,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(5,7) : 1 x (irr-A3-4, irr-B3-7)	(6,7) : 0.5 x (irr-C3-6-q, irr-B3-7) + 0.5 x (irr-C3-6-q, irr-B3-8)
mdl-(1,0,6)-241-4BE153E69A3597BC	vertices = (vtx-A07-n27-n1-n1, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-C03-119-1-3, vtx-A03-149-4-6)	Δ = 241	bI-odd = ([[3,1],[0,1],[1,0],[1,0],[1,0],[1,0],[1,0],[2,0]])	bI-even = ()	(1) : 1 x (irr-A7-36)	(6) : 3 x (irr-C3-6-q) + 1 x (irr-C3-14b-q)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A3-4)	(2,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(2,7) : 2 x (irr-A3-4, irr-A3-4)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-A3-4)	(3,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(3,7) : 2 x (irr-A3-4, irr-A3-4)	(4,5) : 1 x (irr-A3-4, irr-A3-4)	(4,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,7) : 2 x (irr-A3-4, irr-A3-4)	(5,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(5,7) : 2 x (irr-A3-4, irr-A3-4)	(6,7) : 1 x (irr-C3-6-q, irr-A3-6)
mdl-(1,0,6)-242-7587428352BA1CCC	vertices = (vtx-A07-n27-n1-n1, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-C03-119-1-3, vtx-G02-140-4-6)	Δ = 242	bI-odd = ([[3,1],[0,1],[1,0],[1,0],[1,0],[1,0],[1,0],[2,0]])	bI-even = ()	(1) : 1 x (irr-A7-36)	(2) : 1 x (irr-A3-4)	(3) : 1 x (irr-A3-4)	(4) : 1 x (irr-A3-4)	(5) : 1 x (irr-A3-4)	(6) : 2 x (irr-C3-6-q) + 1 x (irr-C3-14b-q)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A3-4)	(2,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(2,7) : 1 x (irr-A3-4, irr-G2-7)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-A3-4)	(3,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(3,7) : 1 x (irr-A3-4, irr-G2-7)	(4,5) : 1 x (irr-A3-4, irr-A3-4)	(4,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,7) : 1 x (irr-A3-4, irr-G2-7)	(5,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(5,7) : 1 x (irr-A3-4, irr-G2-7)	(6,7) : 1 x (irr-C3-6-q, irr-G2-7)
mdl-(1,0,6)-242-4C149479EE13EB71	vertices = (vtx-A07-n27-n1-n1, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-C03-119-1-3, vtx-B03-156-4-6)	Δ = 242	bI-odd = ([[3,1],[0,1],[1,0],[1,0],[1,0],[1,0],[1,0],[2,0]])	bI-even = ()	(1) : 1 x (irr-A7-36)	(6) : 2 x (irr-C3-6-q) + 1 x (irr-C3-14b-q)	(7) : 1 x (irr-B3-7)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A3-4)	(2,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(2,7) : 1 x (irr-A3-4, irr-B3-8)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-A3-4)	(3,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(3,7) : 1 x (irr-A3-4, irr-B3-8)	(4,5) : 1 x (irr-A3-4, irr-A3-4)	(4,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,7) : 1 x (irr-A3-4, irr-B3-8)	(5,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(5,7) : 1 x (irr-A3-4, irr-B3-8)	(6,7) : 1 x (irr-C3-6-q, irr-B3-7)
