mdl-(1,1,4)-236-3904017561FCE796	vertices = (vtx-A03-17-n2-0, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-C04-119-0-2)	Δ = 236	bI-odd = ()	bI-even = ([[2,2],[1,-1],[1,1],[1,1],[1,1],[1,1],[0,1]])	(6) : 1 x (irr-C4-27)	(1,6) : 1 x (irr-A3-4, irr-C4-8-q)	(2,3) : 2 x (irr-A3-4, irr-A3-4)	(2,4) : 2 x (irr-A3-4, irr-A3-4)	(2,5) : 2 x (irr-A3-4, irr-A3-4)	(2,6) : 0.5 x (irr-A3-6, irr-C4-8-q)	(3,4) : 2 x (irr-A3-4, irr-A3-4)	(3,5) : 2 x (irr-A3-4, irr-A3-4)	(3,6) : 0.5 x (irr-A3-6, irr-C4-8-q)	(4,5) : 2 x (irr-A3-4, irr-A3-4)	(4,6) : 0.5 x (irr-A3-6, irr-C4-8-q)	(5,6) : 0.5 x (irr-A3-6, irr-C4-8-q)
mdl-(1,1,4)-238-F805AE4974E64D71	vertices = (vtx-A03-17-n2-0, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-C03-89-0-2)	Δ = 238	bI-odd = ()	bI-even = ([[2,2],[1,-1],[1,1],[1,1],[1,1],[1,1],[0,1]])	(1) : 2 x (irr-A3-4)	(2) : 1 x (irr-A3-6)	(3) : 1 x (irr-A3-6)	(4) : 1 x (irr-A3-6)	(5) : 1 x (irr-A3-6)	(6) : 1 x (irr-C3-14a)	(1,6) : 1 x (irr-A3-4, irr-C3-6-q)	(2,3) : 2 x (irr-A3-4, irr-A3-4)	(2,4) : 2 x (irr-A3-4, irr-A3-4)	(2,5) : 2 x (irr-A3-4, irr-A3-4)	(2,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(3,4) : 2 x (irr-A3-4, irr-A3-4)	(3,5) : 2 x (irr-A3-4, irr-A3-4)	(3,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,5) : 2 x (irr-A3-4, irr-A3-4)	(4,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(5,6) : 0.5 x (irr-A3-6, irr-C3-6-q)
mdl-(1,1,4)-240-A0D48CBE8A284D49	vertices = (vtx-A03-17-n2-0, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-C03-91-0-2)	Δ = 240	bI-odd = ()	bI-even = ([[2,2],[1,-1],[1,1],[1,1],[1,1],[1,1],[0,1]])	(1) : 2 x (irr-A3-4)	(2) : 1 x (irr-A3-6)	(3) : 1 x (irr-A3-6)	(4) : 1 x (irr-A3-6)	(5) : 1 x (irr-A3-6)	(6) : 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,6) : 1 x (irr-A3-4, irr-C3-6-q)	(2,3) : 2 x (irr-A3-4, irr-A3-4)	(2,4) : 2 x (irr-A3-4, irr-A3-4)	(2,5) : 2 x (irr-A3-4, irr-A3-4)	(2,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(3,4) : 2 x (irr-A3-4, irr-A3-4)	(3,5) : 2 x (irr-A3-4, irr-A3-4)	(3,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,5) : 2 x (irr-A3-4, irr-A3-4)	(4,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(5,6) : 0.5 x (irr-A3-6, irr-C3-6-q)
mdl-(1,1,4)-242-F2B9878BE96E5F9C	vertices = (vtx-A03-17-n2-0, vtx-G02-98-2-4, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-C03-91-0-2)	Δ = 242	bI-odd = ()	bI-even = ([[2,2],[1,-1],[1,1],[1,1],[1,1],[1,1],[0,1]])	(1) : 2 x (irr-A3-4)	(2) : 1 x (irr-G2-7)	(3) : 1 x (irr-A3-4) + 1 x (irr-A3-6)	(4) : 1 x (irr-A3-4) + 1 x (irr-A3-6)	(5) : 1 x (irr-A3-4) + 1 x (irr-A3-6)	(6) : 1 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,6) : 1 x (irr-A3-4, irr-C3-6-q)	(2,3) : 1 x (irr-G2-7, irr-A3-4)	(2,4) : 1 x (irr-G2-7, irr-A3-4)	(2,5) : 1 x (irr-G2-7, irr-A3-4)	(2,6) : 0.5 x (irr-G2-7, irr-C3-6-q)	(3,4) : 2 x (irr-A3-4, irr-A3-4)	(3,5) : 2 x (irr-A3-4, irr-A3-4)	(3,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,5) : 2 x (irr-A3-4, irr-A3-4)	(4,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(5,6) : 0.5 x (irr-A3-6, irr-C3-6-q)
mdl-(1,1,4)-242-7247ABA3BEFDA33A	vertices = (vtx-A03-17-n2-0, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-C03-91-0-2)	Δ = 242	bI-odd = ()	bI-even = ([[2,2],[1,-1],[1,1],[1,1],[1,1],[1,1],[0,1]])	(1) : 2 x (irr-A3-4)	(2) : 1 x (irr-A3-6)	(3) : 1 x (irr-A3-6)	(4) : 2 x (irr-A3-4)	(5) : 2 x (irr-A3-4) + 1 x (irr-A3-6)	(6) : 0.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,6) : 1 x (irr-A3-4, irr-C3-6-q)	(2,3) : 2 x (irr-A3-4, irr-A3-4)	(2,4) : 2 x (irr-A3-4, irr-A3-4)	(2,5) : 2 x (irr-A3-4, irr-A3-4)	(2,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(3,4) : 2 x (irr-A3-4, irr-A3-4)	(3,5) : 2 x (irr-A3-4, irr-A3-4)	(3,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,5) : 1 x (irr-A3-6, irr-A3-4)	(4,6) : 1 x (irr-A3-4, irr-C3-6-q)	(5,6) : 0.5 x (irr-A3-6, irr-C3-6-q)
mdl-(1,1,4)-242-35CB8D9FD0BD6C95	vertices = (vtx-A03-17-n2-0, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-B03-110-2-4, vtx-C03-91-0-2)	Δ = 242	bI-odd = ()	bI-even = ([[2,2],[1,-1],[1,1],[1,1],[1,1],[1,1],[0,1]])	(1) : 2 x (irr-A3-4)	(2) : 1 x (irr-A3-6)	(3) : 1 x (irr-A3-6)	(4) : 1 x (irr-A3-6)	(5) : 2 x (irr-B3-7)	(6) : 1 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,6) : 1 x (irr-A3-4, irr-C3-6-q)	(2,3) : 2 x (irr-A3-4, irr-A3-4)	(2,4) : 2 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-B3-8)	(2,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(3,4) : 2 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-B3-8)	(3,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,5) : 1 x (irr-A3-4, irr-B3-8)	(4,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(5,6) : 0.5 x (irr-B3-7, irr-C3-6-q)
mdl-(1,1,4)-243-46D7580710BA0AE8	vertices = (vtx-A03-17-n2-0, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-B03-110-2-4, vtx-C03-91-0-2)	Δ = 243	bI-odd = ()	bI-even = ([[2,2],[1,-1],[1,1],[1,1],[1,1],[1,1],[0,1]])	(1) : 2 x (irr-A3-4)	(2) : 1 x (irr-A3-6)	(3) : 1 x (irr-A3-6)	(4) : 1 x (irr-A3-4) + 1 x (irr-A3-6)	(5) : 1 x (irr-B3-7) + 1 x (irr-B3-8)	(6) : 0.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,6) : 1 x (irr-A3-4, irr-C3-6-q)	(2,3) : 2 x (irr-A3-4, irr-A3-4)	(2,4) : 2 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-B3-8)	(2,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(3,4) : 2 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-B3-8)	(3,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,5) : 1 x (irr-A3-4, irr-B3-7)	(4,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(5,6) : 0.5 x (irr-B3-8, irr-C3-6-q)
mdl-(1,1,4)-244-B029349F53C7FAE9	vertices = (vtx-A03-17-n2-0, vtx-G02-98-2-4, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-C03-91-0-2)	Δ = 244	bI-odd = ()	bI-even = ([[2,2],[1,-1],[1,1],[1,1],[1,1],[1,1],[0,1]])	(1) : 2 x (irr-A3-4)	(2) : 1 x (irr-G2-7)	(3) : 1 x (irr-A3-4) + 1 x (irr-A3-6)	(4) : 3 x (irr-A3-4)	(5) : 3 x (irr-A3-4) + 1 x (irr-A3-6)	(6) : 0.5 x (irr-C3-14b-q)	(1,6) : 1 x (irr-A3-4, irr-C3-6-q)	(2,3) : 1 x (irr-G2-7, irr-A3-4)	(2,4) : 1 x (irr-G2-7, irr-A3-4)	(2,5) : 1 x (irr-G2-7, irr-A3-4)	(2,6) : 0.5 x (irr-G2-7, irr-C3-6-q)	(3,4) : 2 x (irr-A3-4, irr-A3-4)	(3,5) : 2 x (irr-A3-4, irr-A3-4)	(3,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,5) : 1 x (irr-A3-6, irr-A3-4)	(4,6) : 1 x (irr-A3-4, irr-C3-6-q)	(5,6) : 0.5 x (irr-A3-6, irr-C3-6-q)
mdl-(1,1,4)-244-DA0E990F2239EB09	vertices = (vtx-A03-17-n2-0, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-B03-110-2-4, vtx-C03-91-0-2)	Δ = 244	bI-odd = ()	bI-even = ([[2,2],[1,-1],[1,1],[1,1],[1,1],[1,1],[0,1]])	(1) : 2 x (irr-A3-4)	(2) : 1 x (irr-A3-6)	(3) : 2 x (irr-A3-4)	(4) : 2 x (irr-A3-4) + 1 x (irr-A3-6)	(5) : 2 x (irr-B3-7)	(6) : 0.5 x (irr-C3-14b-q)	(1,6) : 1 x (irr-A3-4, irr-C3-6-q)	(2,3) : 2 x (irr-A3-4, irr-A3-4)	(2,4) : 2 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-B3-8)	(2,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(3,4) : 1 x (irr-A3-6, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-B3-8)	(3,6) : 1 x (irr-A3-4, irr-C3-6-q)	(4,5) : 1 x (irr-A3-4, irr-B3-8)	(4,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(5,6) : 0.5 x (irr-B3-7, irr-C3-6-q)
mdl-(1,1,4)-236-609075841F1964AF	vertices = (vtx-A03-39-n1-1, vtx-A03-171-5-7, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-C03-89-0-2)	Δ = 236	bI-odd = ([[3,1],[0,-1],[3,2],[1,0],[1,0],[1,0],[1,1]])	bI-even = ()	(1) : 1 x (irr-A3-6)	(6) : 1 x (irr-C3-14a)	(1,2) : 1 x (irr-A3-4, irr-A3-6)	(1,6) : 1 x (irr-A3-4, irr-C3-6-q)	(2,3) : 3 x (irr-A3-4, irr-A3-4)	(2,4) : 3 x (irr-A3-4, irr-A3-4)	(2,5) : 3 x (irr-A3-4, irr-A3-4)	(2,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-A3-4)	(3,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,5) : 1 x (irr-A3-4, irr-A3-4)	(4,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(5,6) : 0.5 x (irr-A3-6, irr-C3-6-q)
mdl-(1,1,4)-238-E17DDDABAE83BE8B	vertices = (vtx-A03-39-n1-1, vtx-A03-171-5-7, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-C03-91-0-2)	Δ = 238	bI-odd = ([[3,1],[0,-1],[3,2],[1,0],[1,0],[1,0],[1,1]])	bI-even = ()	(1) : 1 x (irr-A3-6)	(6) : 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,2) : 1 x (irr-A3-4, irr-A3-6)	(1,6) : 1 x (irr-A3-4, irr-C3-6-q)	(2,3) : 3 x (irr-A3-4, irr-A3-4)	(2,4) : 3 x (irr-A3-4, irr-A3-4)	(2,5) : 3 x (irr-A3-4, irr-A3-4)	(2,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-A3-4)	(3,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,5) : 1 x (irr-A3-4, irr-A3-4)	(4,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(5,6) : 0.5 x (irr-A3-6, irr-C3-6-q)
