mdl-(1,2,0)-107-55D24926C27C6915	vertices = (vtx-A03-17-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 107	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1]])	(2) : 12 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 12 x (irr-A3-4) + 2 x (irr-A3-6)	(1,2) : 1 x (irr-A3-4, irr-A3-4)	(1,3) : 1 x (irr-A3-4, irr-A3-4)
mdl-(1,2,0)-129-C3C0926D30EAA3C7	vertices = (vtx-A03-39-n1-1, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 129	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 4 x (irr-A3-4) + 1 x (irr-A3-6)	(2) : 12 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 12 x (irr-A3-4) + 2 x (irr-A3-6)	(1,2) : 1 x (irr-A3-4, irr-A3-4)	(1,3) : 1 x (irr-A3-4, irr-A3-4)
mdl-(1,2,0)-140-7AF697F5B5D6412E	vertices = (vtx-A03-39-n1-1, vtx-A03-61-0-2, vtx-A04-76-0-2)	Δ = 140	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 3 x (irr-A3-4) + 1 x (irr-A3-6)	(2) : 12 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 12 x (irr-A4-5) + 2 x (irr-A4-10)	(1,2) : 1 x (irr-A3-4, irr-A3-4)	(1,3) : 1 x (irr-A3-4, irr-A4-5)
mdl-(1,2,0)-149-C620215B1367C1AD	vertices = (vtx-A03-39-n1-1, vtx-A03-61-0-2, vtx-C03-89-0-2)	Δ = 149	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 2 x (irr-A3-4) + 1 x (irr-A3-6)	(2) : 12 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 12 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(1,2) : 1 x (irr-A3-4, irr-A3-4)	(1,3) : 1 x (irr-A3-4, irr-C3-6-q)
mdl-(1,2,0)-151-9BB0026BC716C633	vertices = (vtx-A03-39-n1-1, vtx-A03-61-0-2, vtx-A05-91-0-2)	Δ = 151	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 2 x (irr-A3-4) + 1 x (irr-A3-6)	(2) : 12 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 12 x (irr-A5-6) + 2 x (irr-A5-15)	(1,2) : 1 x (irr-A3-4, irr-A3-4)	(1,3) : 1 x (irr-A3-4, irr-A5-6)
mdl-(1,2,0)-151-F170F189FE1BAA69	vertices = (vtx-A03-39-n1-1, vtx-A03-61-0-2, vtx-C03-91-0-2)	Δ = 151	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 2 x (irr-A3-4) + 1 x (irr-A3-6)	(2) : 12 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 13.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,2) : 1 x (irr-A3-4, irr-A3-4)	(1,3) : 1 x (irr-A3-4, irr-C3-6-q)
mdl-(1,2,0)-151-9642765089389BED	vertices = (vtx-A03-39-n1-1, vtx-A04-76-0-2, vtx-A04-76-0-2)	Δ = 151	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 2 x (irr-A3-4) + 1 x (irr-A3-6)	(2) : 12 x (irr-A4-5) + 2 x (irr-A4-10)	(3) : 12 x (irr-A4-5) + 2 x (irr-A4-10)	(1,2) : 1 x (irr-A3-4, irr-A4-5)	(1,3) : 1 x (irr-A3-4, irr-A4-5)
mdl-(1,2,0)-152-9D28FE59DAB8CF45	vertices = (vtx-A03-39-n1-1, vtx-A03-61-0-2, vtx-A05-92-0-2)	Δ = 152	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 2 x (irr-A3-4) + 1 x (irr-A3-6)	(2) : 12 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 13 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 1 x (irr-A5-15)	(1,2) : 1 x (irr-A3-4, irr-A3-4)	(1,3) : 1 x (irr-A3-4, irr-A5-6)
mdl-(1,2,0)-153-D9DCEA0DE50E4AA3	vertices = (vtx-A03-39-n1-1, vtx-A03-61-0-2, vtx-A05-93-0-2)	Δ = 153	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 2 x (irr-A3-4) + 1 x (irr-A3-6)	(2) : 12 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 14 x (irr-A5-6) + 1 x (irr-A5-20-q)	(1,2) : 1 x (irr-A3-4, irr-A3-4)	(1,3) : 1 x (irr-A3-4, irr-A5-6)
mdl-(1,2,0)-160-105DC549BD9E9806	vertices = (vtx-A03-39-n1-1, vtx-A04-76-0-2, vtx-C03-89-0-2)	Δ = 160	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 1 x (irr-A3-4) + 1 x (irr-A3-6)	(2) : 12 x (irr-A4-5) + 2 x (irr-A4-10)	(3) : 12 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(1,2) : 1 x (irr-A3-4, irr-A4-5)	(1,3) : 1 x (irr-A3-4, irr-C3-6-q)
