mdl-(1,3,3)-231-444C665A9E16C2B2	vertices = (vtx-A03-39-n1-1, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 231	bI-odd = ([[3,1],[0,-1],[1,0],[1,0],[1,0],[1,1],[1,1],[1,1]])	bI-even = ()	(1) : 1 x (irr-A3-6)	(2) : 3 x (irr-A3-6)	(3) : 3 x (irr-A3-6)	(4) : 3 x (irr-A3-6)	(5) : 2 x (irr-A3-6)	(6) : 2 x (irr-A3-6)	(7) : 2 x (irr-A3-6)	(1,5) : 1 x (irr-A3-4, irr-A3-4)	(1,6) : 1 x (irr-A3-4, irr-A3-4)	(1,7) : 1 x (irr-A3-4, irr-A3-4)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A3-4)	(2,6) : 1 x (irr-A3-4, irr-A3-4)	(2,7) : 1 x (irr-A3-4, irr-A3-4)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-A3-4)	(3,6) : 1 x (irr-A3-4, irr-A3-4)	(3,7) : 1 x (irr-A3-4, irr-A3-4)	(4,5) : 1 x (irr-A3-4, irr-A3-4)	(4,6) : 1 x (irr-A3-4, irr-A3-4)	(4,7) : 1 x (irr-A3-4, irr-A3-4)
mdl-(1,3,3)-242-EE30E477C221EF56	vertices = (vtx-D04-44-n1-1, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-C03-89-0-2)	Δ = 242	bI-odd = ([[3,1],[0,-1],[1,0],[1,0],[1,0],[1,1],[1,1],[1,1]])	bI-even = ()	(5) : 1 x (irr-C3-14a)	(6) : 1 x (irr-C3-14a)	(7) : 3 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(1,5) : 0.5 x (irr-D4-8a, irr-C3-6-q)	(1,6) : 0.5 x (irr-D4-8b, irr-C3-6-q)	(1,7) : 0.5 x (irr-D4-8b, irr-C3-6-q)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-C3-6-q)	(2,6) : 1 x (irr-A3-4, irr-C3-6-q)	(2,7) : 0.5 x (irr-A3-6, irr-C3-6-q)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-C3-6-q)	(3,6) : 1 x (irr-A3-4, irr-C3-6-q)	(3,7) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,5) : 1 x (irr-A3-4, irr-C3-6-q)	(4,6) : 1 x (irr-A3-4, irr-C3-6-q)	(4,7) : 0.5 x (irr-A3-6, irr-C3-6-q)
mdl-(1,3,3)-242-70829AE8CC463B25	vertices = (vtx-D04-44-n1-1, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-C03-89-0-2)	Δ = 242	bI-odd = ([[3,1],[0,-1],[1,0],[1,0],[1,0],[1,1],[1,1],[1,1]])	bI-even = ()	(5) : 1 x (irr-C3-14a)	(6) : 1 x (irr-C3-14a)	(7) : 3 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(1,5) : 0.5 x (irr-D4-8b, irr-C3-6-q)	(1,6) : 0.5 x (irr-D4-8b, irr-C3-6-q)	(1,7) : 0.5 x (irr-D4-8a, irr-C3-6-q)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-C3-6-q)	(2,6) : 1 x (irr-A3-4, irr-C3-6-q)	(2,7) : 0.5 x (irr-A3-6, irr-C3-6-q)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-C3-6-q)	(3,6) : 1 x (irr-A3-4, irr-C3-6-q)	(3,7) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,5) : 1 x (irr-A3-4, irr-C3-6-q)	(4,6) : 1 x (irr-A3-4, irr-C3-6-q)	(4,7) : 0.5 x (irr-A3-6, irr-C3-6-q)
mdl-(1,3,3)-242-BF658C9BC8999D15	vertices = (vtx-D04-44-n1-1, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-C03-89-0-2)	Δ = 242	bI-odd = ([[3,1],[0,-1],[1,0],[1,0],[1,0],[1,1],[1,1],[1,1]])	bI-even = ()	(5) : 1 x (irr-C3-14a)	(6) : 1 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(7) : 2 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(1,5) : 0.5 x (irr-D4-8a, irr-C3-6-q)	(1,6) : 0.5 x (irr-D4-8b, irr-C3-6-q)	(1,7) : 0.5 x (irr-D4-8b, irr-C3-6-q)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-C3-6-q)	(2,6) : 1 x (irr-A3-4, irr-C3-6-q)	(2,7) : 0.5 x (irr-A3-6, irr-C3-6-q)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-C3-6-q)	(3,6) : 1 x (irr-A3-4, irr-C3-6-q)	(3,7) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,5) : 1 x (irr-A3-4, irr-C3-6-q)	(4,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,7) : 1 x (irr-A3-4, irr-C3-6-q)
mdl-(1,3,3)-242-912779BBCFE2F042	vertices = (vtx-D04-44-n1-1, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-C03-89-0-2)	Δ = 242	bI-odd = ([[3,1],[0,-1],[1,0],[1,0],[1,0],[1,1],[1,1],[1,1]])	bI-even = ()	(5) : 1 x (irr-C3-14a)	(6) : 1 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(7) : 2 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(1,5) : 0.5 x (irr-D4-8b, irr-C3-6-q)	(1,6) : 0.5 x (irr-D4-8a, irr-C3-6-q)	(1,7) : 0.5 x (irr-D4-8b, irr-C3-6-q)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-C3-6-q)	(2,6) : 1 x (irr-A3-4, irr-C3-6-q)	(2,7) : 0.5 x (irr-A3-6, irr-C3-6-q)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-C3-6-q)	(3,6) : 1 x (irr-A3-4, irr-C3-6-q)	(3,7) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,5) : 1 x (irr-A3-4, irr-C3-6-q)	(4,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,7) : 1 x (irr-A3-4, irr-C3-6-q)
mdl-(1,3,3)-242-43E68B7CEC8C9C33	vertices = (vtx-D04-44-n1-1, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-C03-89-0-2)	Δ = 242	bI-odd = ([[3,1],[0,-1],[1,0],[1,0],[1,0],[1,1],[1,1],[1,1]])	bI-even = ()	(5) : 1 x (irr-C3-14a)	(6) : 1 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(7) : 2 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(1,5) : 0.5 x (irr-D4-8b, irr-C3-6-q)	(1,6) : 0.5 x (irr-D4-8b, irr-C3-6-q)	(1,7) : 0.5 x (irr-D4-8a, irr-C3-6-q)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-C3-6-q)	(2,6) : 1 x (irr-A3-4, irr-C3-6-q)	(2,7) : 0.5 x (irr-A3-6, irr-C3-6-q)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-C3-6-q)	(3,6) : 1 x (irr-A3-4, irr-C3-6-q)	(3,7) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,5) : 1 x (irr-A3-4, irr-C3-6-q)	(4,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,7) : 1 x (irr-A3-4, irr-C3-6-q)
mdl-(1,3,3)-242-0A1A8E0F8554F051	vertices = (vtx-D04-44-n1-1, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-C03-89-0-2)	Δ = 242	bI-odd = ([[3,1],[0,-1],[1,0],[1,0],[1,0],[1,1],[1,1],[1,1]])	bI-even = ()	(5) : 1 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(6) : 1 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(7) : 1 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(1,5) : 0.5 x (irr-D4-8a, irr-C3-6-q)	(1,6) : 0.5 x (irr-D4-8b, irr-C3-6-q)	(1,7) : 0.5 x (irr-D4-8b, irr-C3-6-q)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-C3-6-q)	(2,6) : 1 x (irr-A3-4, irr-C3-6-q)	(2,7) : 0.5 x (irr-A3-6, irr-C3-6-q)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-C3-6-q)	(3,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(3,7) : 1 x (irr-A3-4, irr-C3-6-q)	(4,5) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,6) : 1 x (irr-A3-4, irr-C3-6-q)	(4,7) : 1 x (irr-A3-4, irr-C3-6-q)
mdl-(1,3,3)-244-32EF85CB4BDFF832	vertices = (vtx-D04-44-n1-1, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-C03-91-0-2)	Δ = 244	bI-odd = ([[3,1],[0,-1],[1,0],[1,0],[1,0],[1,1],[1,1],[1,1]])	bI-even = ()	(5) : 1 x (irr-C3-14a)	(6) : 1 x (irr-C3-14a)	(7) : 4.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,5) : 0.5 x (irr-D4-8a, irr-C3-6-q)	(1,6) : 0.5 x (irr-D4-8b, irr-C3-6-q)	(1,7) : 0.5 x (irr-D4-8b, irr-C3-6-q)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-C3-6-q)	(2,6) : 1 x (irr-A3-4, irr-C3-6-q)	(2,7) : 0.5 x (irr-A3-6, irr-C3-6-q)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-C3-6-q)	(3,6) : 1 x (irr-A3-4, irr-C3-6-q)	(3,7) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,5) : 1 x (irr-A3-4, irr-C3-6-q)	(4,6) : 1 x (irr-A3-4, irr-C3-6-q)	(4,7) : 0.5 x (irr-A3-6, irr-C3-6-q)
mdl-(1,3,3)-244-86951C6B2BDE8B5F	vertices = (vtx-D04-44-n1-1, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-C03-91-0-2)	Δ = 244	bI-odd = ([[3,1],[0,-1],[1,0],[1,0],[1,0],[1,1],[1,1],[1,1]])	bI-even = ()	(5) : 1 x (irr-C3-14a)	(6) : 1 x (irr-C3-14a)	(7) : 4.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,5) : 0.5 x (irr-D4-8b, irr-C3-6-q)	(1,6) : 0.5 x (irr-D4-8b, irr-C3-6-q)	(1,7) : 0.5 x (irr-D4-8a, irr-C3-6-q)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-C3-6-q)	(2,6) : 1 x (irr-A3-4, irr-C3-6-q)	(2,7) : 0.5 x (irr-A3-6, irr-C3-6-q)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-C3-6-q)	(3,6) : 1 x (irr-A3-4, irr-C3-6-q)	(3,7) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,5) : 1 x (irr-A3-4, irr-C3-6-q)	(4,6) : 1 x (irr-A3-4, irr-C3-6-q)	(4,7) : 0.5 x (irr-A3-6, irr-C3-6-q)
mdl-(1,3,3)-244-378D59EA6E9F71D1	vertices = (vtx-D04-44-n1-1, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-C03-91-0-2)	Δ = 244	bI-odd = ([[3,1],[0,-1],[1,0],[1,0],[1,0],[1,1],[1,1],[1,1]])	bI-even = ()	(5) : 1 x (irr-C3-14a)	(6) : 1 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(7) : 3.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,5) : 0.5 x (irr-D4-8a, irr-C3-6-q)	(1,6) : 0.5 x (irr-D4-8b, irr-C3-6-q)	(1,7) : 0.5 x (irr-D4-8b, irr-C3-6-q)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-C3-6-q)	(2,6) : 1 x (irr-A3-4, irr-C3-6-q)	(2,7) : 0.5 x (irr-A3-6, irr-C3-6-q)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-C3-6-q)	(3,6) : 1 x (irr-A3-4, irr-C3-6-q)	(3,7) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,5) : 1 x (irr-A3-4, irr-C3-6-q)	(4,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,7) : 1 x (irr-A3-4, irr-C3-6-q)
mdl-(1,3,3)-244-F2A6801784DF4C73	vertices = (vtx-D04-44-n1-1, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-C03-91-0-2)	Δ = 244	bI-odd = ([[3,1],[0,-1],[1,0],[1,0],[1,0],[1,1],[1,1],[1,1]])	bI-even = ()	(5) : 1 x (irr-C3-14a)	(6) : 1 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(7) : 3.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,5) : 0.5 x (irr-D4-8b, irr-C3-6-q)	(1,6) : 0.5 x (irr-D4-8a, irr-C3-6-q)	(1,7) : 0.5 x (irr-D4-8b, irr-C3-6-q)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-C3-6-q)	(2,6) : 1 x (irr-A3-4, irr-C3-6-q)	(2,7) : 0.5 x (irr-A3-6, irr-C3-6-q)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-C3-6-q)	(3,6) : 1 x (irr-A3-4, irr-C3-6-q)	(3,7) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,5) : 1 x (irr-A3-4, irr-C3-6-q)	(4,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,7) : 1 x (irr-A3-4, irr-C3-6-q)
