mdl-(1,4,2)-231-55FC9D34538E8DD8	vertices = (vtx-A07-65-n2-0, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 231	bI-odd = ()	bI-even = ([[2,2],[1,-1],[1,1],[1,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 4 x (irr-A3-6)	(3) : 4 x (irr-A3-6)	(4) : 2 x (irr-A3-6)	(5) : 2 x (irr-A3-6)	(6) : 2 x (irr-A3-6)	(7) : 2 x (irr-A3-6)	(1,4) : 1 x (irr-A7-8, irr-A3-4)	(1,5) : 1 x (irr-A7-8, irr-A3-4)	(1,6) : 1 x (irr-A7-8, irr-A3-4)	(1,7) : 1 x (irr-A7-8, irr-A3-4)	(2,3) : 2 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A3-4)	(2,6) : 1 x (irr-A3-4, irr-A3-4)	(2,7) : 1 x (irr-A3-4, irr-A3-4)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-A3-4)	(3,6) : 1 x (irr-A3-4, irr-A3-4)	(3,7) : 1 x (irr-A3-4, irr-A3-4)
mdl-(1,4,2)-239-12C7CD12E8E8728A	vertices = (vtx-A07-65-n2-0, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 239	bI-odd = ()	bI-even = ([[2,2],[1,-1],[1,1],[1,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 2 x (irr-A3-4) + 4 x (irr-A3-6)	(3) : 8 x (irr-A3-4)	(4) : 2 x (irr-A3-6)	(5) : 2 x (irr-A3-6)	(6) : 2 x (irr-A3-6)	(7) : 2 x (irr-A3-6)	(1,4) : 1 x (irr-A7-8, irr-A3-4)	(1,5) : 1 x (irr-A7-8, irr-A3-4)	(1,6) : 1 x (irr-A7-8, irr-A3-4)	(1,7) : 1 x (irr-A7-8, irr-A3-4)	(2,3) : 1 x (irr-A3-4, irr-A3-6)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A3-4)	(2,6) : 1 x (irr-A3-4, irr-A3-4)	(2,7) : 1 x (irr-A3-4, irr-A3-4)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-A3-4)	(3,6) : 1 x (irr-A3-4, irr-A3-4)	(3,7) : 1 x (irr-A3-4, irr-A3-4)
mdl-(1,4,2)-231-8E4800339505C7B8	vertices = (vtx-A07-93-n1-1, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 231	bI-odd = ([[3,1],[0,-1],[1,0],[1,0],[1,1],[1,1],[1,1],[1,1]])	bI-even = ()	(1) : 1 x (irr-A7-28)	(2) : 3 x (irr-A3-6)	(3) : 3 x (irr-A3-6)	(4) : 2 x (irr-A3-6)	(5) : 2 x (irr-A3-6)	(6) : 2 x (irr-A3-6)	(7) : 2 x (irr-A3-6)	(1,4) : 1 x (irr-A7-8, irr-A3-4)	(1,5) : 1 x (irr-A7-8, irr-A3-4)	(1,6) : 1 x (irr-A7-8, irr-A3-4)	(1,7) : 1 x (irr-A7-8, irr-A3-4)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A3-4)	(2,6) : 1 x (irr-A3-4, irr-A3-4)	(2,7) : 1 x (irr-A3-4, irr-A3-4)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-A3-4)	(3,6) : 1 x (irr-A3-4, irr-A3-4)	(3,7) : 1 x (irr-A3-4, irr-A3-4)
mdl-(1,4,2)-238-0FFD84B34765A084	vertices = (vtx-B10-63-n4-n2, vtx-G02-140-4-6, vtx-G02-140-4-6, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2)	Δ = 238	bI-odd = ()	bI-even = ([[2,2],[1,-2],[1,2],[1,2],[0,1],[0,1],[0,1],[0,1]])	(1) : 1 x (irr-B10-21)	(2) : 3 x (irr-G2-7)	(3) : 3 x (irr-G2-7)	(4) : 0.5 x (irr-C3-14b-q)	(5) : 0.5 x (irr-C3-14b-q)	(6) : 0.5 x (irr-C3-14b-q)	(7) : 0.5 x (irr-C3-14b-q)	(1,4) : 0.5 x (irr-B10-21, irr-C3-6-q)	(1,5) : 0.5 x (irr-B10-21, irr-C3-6-q)	(1,6) : 0.5 x (irr-B10-21, irr-C3-6-q)	(1,7) : 0.5 x (irr-B10-21, irr-C3-6-q)	(2,3) : 1 x (irr-G2-7, irr-G2-7)	(2,4) : 0.5 x (irr-G2-7, irr-C3-6-q)	(2,5) : 0.5 x (irr-G2-7, irr-C3-6-q)	(2,6) : 0.5 x (irr-G2-7, irr-C3-6-q)	(2,7) : 0.5 x (irr-G2-7, irr-C3-6-q)	(3,4) : 0.5 x (irr-G2-7, irr-C3-6-q)	(3,5) : 0.5 x (irr-G2-7, irr-C3-6-q)	(3,6) : 0.5 x (irr-G2-7, irr-C3-6-q)	(3,7) : 0.5 x (irr-G2-7, irr-C3-6-q)
mdl-(1,4,2)-241-23039D28AD8A50E5	vertices = (vtx-B10-63-n4-n2, vtx-A03-149-4-6, vtx-A03-149-4-6, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2)	Δ = 241	bI-odd = ()	bI-even = ([[2,2],[1,-2],[1,2],[1,2],[0,1],[0,1],[0,1],[0,1]])	(1) : 1 x (irr-B10-21)	(2) : 4 x (irr-A3-4)	(3) : 4 x (irr-A3-4)	(4) : 0.5 x (irr-C3-14b-q)	(5) : 0.5 x (irr-C3-14b-q)	(6) : 0.5 x (irr-C3-14b-q)	(7) : 0.5 x (irr-C3-14b-q)	(1,4) : 0.5 x (irr-B10-21, irr-C3-6-q)	(1,5) : 0.5 x (irr-B10-21, irr-C3-6-q)	(1,6) : 0.5 x (irr-B10-21, irr-C3-6-q)	(1,7) : 0.5 x (irr-B10-21, irr-C3-6-q)	(2,3) : 4 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-C3-6-q)	(2,5) : 1 x (irr-A3-4, irr-C3-6-q)	(2,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(2,7) : 0.5 x (irr-A3-6, irr-C3-6-q)	(3,4) : 0.5 x (irr-A3-6, irr-C3-6-q)	(3,5) : 0.5 x (irr-A3-6, irr-C3-6-q)	(3,6) : 1 x (irr-A3-4, irr-C3-6-q)	(3,7) : 1 x (irr-A3-4, irr-C3-6-q)
mdl-(1,4,2)-237-352FA7B00AD857D9	vertices = (vtx-C03-63-n1-1, vtx-C03-119-1-3, vtx-C03-119-1-3, vtx-G02-56-0-2, vtx-G02-56-0-2, vtx-G02-56-0-2, vtx-G02-56-0-2)	Δ = 237	bI-odd = ([[3,1],[0,-1],[1,0],[1,0],[1,1],[1,1],[1,1],[1,1]])	bI-even = ()	(2) : 1 x (irr-C3-6-q) + 1 x (irr-C3-14b-q)	(3) : 1 x (irr-C3-6-q) + 1 x (irr-C3-14b-q)	(4) : 1 x (irr-G2-7)	(5) : 1 x (irr-G2-7)	(6) : 1 x (irr-G2-7)	(7) : 1 x (irr-G2-7)	(1,4) : 0.5 x (irr-C3-6-q, irr-G2-7)	(1,5) : 0.5 x (irr-C3-6-q, irr-G2-7)	(1,6) : 0.5 x (irr-C3-6-q, irr-G2-7)	(1,7) : 0.5 x (irr-C3-6-q, irr-G2-7)	(2,3) : 1 x (irr-C3-6-q, irr-C3-6-q)	(2,4) : 0.5 x (irr-C3-6-q, irr-G2-7)	(2,5) : 0.5 x (irr-C3-6-q, irr-G2-7)	(2,6) : 0.5 x (irr-C3-6-q, irr-G2-7)	(2,7) : 0.5 x (irr-C3-6-q, irr-G2-7)	(3,4) : 0.5 x (irr-C3-6-q, irr-G2-7)	(3,5) : 0.5 x (irr-C3-6-q, irr-G2-7)	(3,6) : 0.5 x (irr-C3-6-q, irr-G2-7)	(3,7) : 0.5 x (irr-C3-6-q, irr-G2-7)
mdl-(1,4,2)-239-949BC71445CDBD6D	vertices = (vtx-C03-63-n1-1, vtx-C03-119-1-3, vtx-C03-119-1-3, vtx-G02-56-0-2, vtx-G02-56-0-2, vtx-G02-56-0-2, vtx-B03-64-0-2)	Δ = 239	bI-odd = ([[3,1],[0,-1],[1,0],[1,0],[1,1],[1,1],[1,1],[1,1]])	bI-even = ()	(2) : 0.5 x (irr-C3-6-q) + 1 x (irr-C3-14b-q)	(3) : 0.5 x (irr-C3-6-q) + 1 x (irr-C3-14b-q)	(4) : 1 x (irr-G2-7)	(5) : 1 x (irr-G2-7)	(6) : 1 x (irr-G2-7)	(7) : 2 x (irr-B3-8)	(1,4) : 0.5 x (irr-C3-6-q, irr-G2-7)	(1,5) : 0.5 x (irr-C3-6-q, irr-G2-7)	(1,6) : 0.5 x (irr-C3-6-q, irr-G2-7)	(1,7) : 0.5 x (irr-C3-6-q, irr-B3-7)	(2,3) : 1 x (irr-C3-6-q, irr-C3-6-q)	(2,4) : 0.5 x (irr-C3-6-q, irr-G2-7)	(2,5) : 0.5 x (irr-C3-6-q, irr-G2-7)	(2,6) : 0.5 x (irr-C3-6-q, irr-G2-7)	(2,7) : 0.5 x (irr-C3-6-q, irr-B3-8)	(3,4) : 0.5 x (irr-C3-6-q, irr-G2-7)	(3,5) : 0.5 x (irr-C3-6-q, irr-G2-7)	(3,6) : 0.5 x (irr-C3-6-q, irr-G2-7)	(3,7) : 0.5 x (irr-C3-6-q, irr-B3-8)
mdl-(1,4,2)-239-8CC2330F33C1071B	vertices = (vtx-C03-63-n1-1, vtx-C03-119-1-3, vtx-A03-149-4-6, vtx-G02-56-0-2, vtx-G02-56-0-2, vtx-G02-56-0-2, vtx-G02-56-0-2)	Δ = 239	bI-odd = ([[3,1],[0,-1],[1,0],[2,0],[1,1],[1,1],[1,1],[1,1]])	bI-even = ()	(2) : 1 x (irr-C3-6-q) + 1 x (irr-C3-14b-q)	(3) : 4 x (irr-A3-4)	(1,4) : 0.5 x (irr-C3-6-q, irr-G2-7)	(1,5) : 0.5 x (irr-C3-6-q, irr-G2-7)	(1,6) : 0.5 x (irr-C3-6-q, irr-G2-7)	(1,7) : 0.5 x (irr-C3-6-q, irr-G2-7)	(2,3) : 1 x (irr-C3-6-q, irr-A3-6)	(2,4) : 0.5 x (irr-C3-6-q, irr-G2-7)	(2,5) : 0.5 x (irr-C3-6-q, irr-G2-7)	(2,6) : 0.5 x (irr-C3-6-q, irr-G2-7)	(2,7) : 0.5 x (irr-C3-6-q, irr-G2-7)	(3,4) : 1 x (irr-A3-4, irr-G2-7)	(3,5) : 1 x (irr-A3-4, irr-G2-7)	(3,6) : 1 x (irr-A3-4, irr-G2-7)	(3,7) : 1 x (irr-A3-4, irr-G2-7)
mdl-(1,4,2)-240-6D167261EF1113EA	vertices = (vtx-C03-63-n1-1, vtx-C03-119-1-3, vtx-A03-149-4-6, vtx-G02-56-0-2, vtx-G02-56-0-2, vtx-G02-56-0-2, vtx-B03-64-0-2)	Δ = 240	bI-odd = ([[3,1],[0,-1],[1,0],[2,0],[1,1],[1,1],[1,1],[1,1]])	bI-even = ()	(2) : 0.5 x (irr-C3-6-q) + 1 x (irr-C3-14b-q)	(3) : 3 x (irr-A3-4)	(7) : 1 x (irr-B3-8)	(1,4) : 0.5 x (irr-C3-6-q, irr-G2-7)	(1,5) : 0.5 x (irr-C3-6-q, irr-G2-7)	(1,6) : 0.5 x (irr-C3-6-q, irr-G2-7)	(1,7) : 0.5 x (irr-C3-6-q, irr-B3-7)	(2,3) : 1 x (irr-C3-6-q, irr-A3-6)	(2,4) : 0.5 x (irr-C3-6-q, irr-G2-7)	(2,5) : 0.5 x (irr-C3-6-q, irr-G2-7)	(2,6) : 0.5 x (irr-C3-6-q, irr-G2-7)	(2,7) : 0.5 x (irr-C3-6-q, irr-B3-8)	(3,4) : 1 x (irr-A3-4, irr-G2-7)	(3,5) : 1 x (irr-A3-4, irr-G2-7)	(3,6) : 1 x (irr-A3-4, irr-G2-7)	(3,7) : 1 x (irr-A3-4, irr-B3-8)
mdl-(1,4,2)-241-DE4D8ABA9B382F0A	vertices = (vtx-C03-63-n1-1, vtx-C03-119-1-3, vtx-C03-119-1-3, vtx-G02-56-0-2, vtx-G02-56-0-2, vtx-B03-64-0-2, vtx-B03-64-0-2)	Δ = 241	bI-odd = ([[3,1],[0,-1],[1,0],[1,0],[1,1],[1,1],[1,1],[1,1]])	bI-even = ()	(2) : 1 x (irr-C3-14b-q)	(3) : 1 x (irr-C3-14b-q)	(4) : 1 x (irr-G2-7)	(5) : 1 x (irr-G2-7)	(6) : 2 x (irr-B3-8)	(7) : 2 x (irr-B3-8)	(1,4) : 0.5 x (irr-C3-6-q, irr-G2-7)	(1,5) : 0.5 x (irr-C3-6-q, irr-G2-7)	(1,6) : 0.5 x (irr-C3-6-q, irr-B3-7)	(1,7) : 0.5 x (irr-C3-6-q, irr-B3-7)	(2,3) : 1 x (irr-C3-6-q, irr-C3-6-q)	(2,4) : 0.5 x (irr-C3-6-q, irr-G2-7)	(2,5) : 0.5 x (irr-C3-6-q, irr-G2-7)	(2,6) : 0.5 x (irr-C3-6-q, irr-B3-8)	(2,7) : 0.5 x (irr-C3-6-q, irr-B3-8)	(3,4) : 0.5 x (irr-C3-6-q, irr-G2-7)	(3,5) : 0.5 x (irr-C3-6-q, irr-G2-7)	(3,6) : 0.5 x (irr-C3-6-q, irr-B3-8)	(3,7) : 0.5 x (irr-C3-6-q, irr-B3-8)
mdl-(1,4,2)-241-E7EEB48FC52BDFC9	vertices = (vtx-C03-63-n1-1, vtx-C03-119-1-3, vtx-A03-149-4-6, vtx-G02-56-0-2, vtx-G02-56-0-2, vtx-B03-64-0-2, vtx-B03-64-0-2)	Δ = 241	bI-odd = ([[3,1],[0,-1],[1,0],[2,0],[1,1],[1,1],[1,1],[1,1]])	bI-even = ()	(2) : 1 x (irr-C3-14b-q)	(3) : 2 x (irr-A3-4)	(6) : 1 x (irr-B3-8)	(7) : 1 x (irr-B3-8)	(1,4) : 0.5 x (irr-C3-6-q, irr-G2-7)	(1,5) : 0.5 x (irr-C3-6-q, irr-G2-7)	(1,6) : 0.5 x (irr-C3-6-q, irr-B3-7)	(1,7) : 0.5 x (irr-C3-6-q, irr-B3-7)	(2,3) : 1 x (irr-C3-6-q, irr-A3-6)	(2,4) : 0.5 x (irr-C3-6-q, irr-G2-7)	(2,5) : 0.5 x (irr-C3-6-q, irr-G2-7)	(2,6) : 0.5 x (irr-C3-6-q, irr-B3-8)	(2,7) : 0.5 x (irr-C3-6-q, irr-B3-8)	(3,4) : 1 x (irr-A3-4, irr-G2-7)	(3,5) : 1 x (irr-A3-4, irr-G2-7)	(3,6) : 1 x (irr-A3-4, irr-B3-8)	(3,7) : 1 x (irr-A3-4, irr-B3-8)
