mdl-(1,5,0)-206-AF8A37A49A088876	vertices = (vtx-A09-101-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 206	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 6 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 6 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 6 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 6 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 6 x (irr-A3-4) + 2 x (irr-A3-6)	(1,2) : 1 x (irr-A9-10, irr-A3-4)	(1,3) : 1 x (irr-A9-10, irr-A3-4)	(1,4) : 1 x (irr-A9-10, irr-A3-4)	(1,5) : 1 x (irr-A9-10, irr-A3-4)	(1,6) : 1 x (irr-A9-10, irr-A3-4)
mdl-(1,5,0)-207-F90FACEE81B5B422	vertices = (vtx-A10-122-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 207	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(1) : 2 x (irr-A10-11)	(2) : 5 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 5 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 5 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 5 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 5 x (irr-A3-4) + 2 x (irr-A3-6)	(1,2) : 1 x (irr-A10-11, irr-A3-4)	(1,3) : 1 x (irr-A10-11, irr-A3-4)	(1,4) : 1 x (irr-A10-11, irr-A3-4)	(1,5) : 1 x (irr-A10-11, irr-A3-4)	(1,6) : 1 x (irr-A10-11, irr-A3-4)
mdl-(1,5,0)-211-229A8C4AF1C73C07	vertices = (vtx-A10-122-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A04-76-0-2)	Δ = 211	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(1) : 1 x (irr-A10-11)	(2) : 5 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 5 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 5 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 5 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 5 x (irr-A4-5) + 2 x (irr-A4-10)	(1,2) : 1 x (irr-A10-11, irr-A3-4)	(1,3) : 1 x (irr-A10-11, irr-A3-4)	(1,4) : 1 x (irr-A10-11, irr-A3-4)	(1,5) : 1 x (irr-A10-11, irr-A3-4)	(1,6) : 1 x (irr-A10-11, irr-A4-5)
mdl-(1,5,0)-213-47630FA51D343FDA	vertices = (vtx-A10-122-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-C03-89-0-2)	Δ = 213	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 5 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 5 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 5 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 5 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 5 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(1,2) : 1 x (irr-A10-11, irr-A3-4)	(1,3) : 1 x (irr-A10-11, irr-A3-4)	(1,4) : 1 x (irr-A10-11, irr-A3-4)	(1,5) : 1 x (irr-A10-11, irr-A3-4)	(1,6) : 1 x (irr-A10-11, irr-C3-6-q)
mdl-(1,5,0)-215-38B15C353C4F08B7	vertices = (vtx-A10-122-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A05-91-0-2)	Δ = 215	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 5 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 5 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 5 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 5 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 5 x (irr-A5-6) + 2 x (irr-A5-15)	(1,2) : 1 x (irr-A10-11, irr-A3-4)	(1,3) : 1 x (irr-A10-11, irr-A3-4)	(1,4) : 1 x (irr-A10-11, irr-A3-4)	(1,5) : 1 x (irr-A10-11, irr-A3-4)	(1,6) : 1 x (irr-A10-11, irr-A5-6)
mdl-(1,5,0)-215-3FF25F71B15050B5	vertices = (vtx-A10-122-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-C03-91-0-2)	Δ = 215	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 5 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 5 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 5 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 5 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 6.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,2) : 1 x (irr-A10-11, irr-A3-4)	(1,3) : 1 x (irr-A10-11, irr-A3-4)	(1,4) : 1 x (irr-A10-11, irr-A3-4)	(1,5) : 1 x (irr-A10-11, irr-A3-4)	(1,6) : 1 x (irr-A10-11, irr-C3-6-q)
mdl-(1,5,0)-215-D66CE9A03B43E24B	vertices = (vtx-A10-122-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A04-76-0-2, vtx-A04-76-0-2)	Δ = 215	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 5 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 5 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 5 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 5 x (irr-A4-5) + 2 x (irr-A4-10)	(6) : 5 x (irr-A4-5) + 2 x (irr-A4-10)	(1,2) : 1 x (irr-A10-11, irr-A3-4)	(1,3) : 1 x (irr-A10-11, irr-A3-4)	(1,4) : 1 x (irr-A10-11, irr-A3-4)	(1,5) : 1 x (irr-A10-11, irr-A4-5)	(1,6) : 1 x (irr-A10-11, irr-A4-5)
mdl-(1,5,0)-216-3023528E0BB3F6DB	vertices = (vtx-A10-122-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A05-92-0-2)	Δ = 216	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 5 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 5 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 5 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 5 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 6 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 1 x (irr-A5-15)	(1,2) : 1 x (irr-A10-11, irr-A3-4)	(1,3) : 1 x (irr-A10-11, irr-A3-4)	(1,4) : 1 x (irr-A10-11, irr-A3-4)	(1,5) : 1 x (irr-A10-11, irr-A3-4)	(1,6) : 1 x (irr-A10-11, irr-A5-6)
mdl-(1,5,0)-217-DF9A94F89142FA2E	vertices = (vtx-A10-122-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A05-93-0-2)	Δ = 217	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 5 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 5 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 5 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 5 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 7 x (irr-A5-6) + 1 x (irr-A5-20-q)	(1,2) : 1 x (irr-A10-11, irr-A3-4)	(1,3) : 1 x (irr-A10-11, irr-A3-4)	(1,4) : 1 x (irr-A10-11, irr-A3-4)	(1,5) : 1 x (irr-A10-11, irr-A3-4)	(1,6) : 1 x (irr-A10-11, irr-A5-6)
mdl-(1,5,0)-210-5663E2607CB365E4	vertices = (vtx-A11-145-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 210	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(1) : 4 x (irr-A11-12)	(2) : 4 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 4 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 4 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 4 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 4 x (irr-A3-4) + 2 x (irr-A3-6)	(1,2) : 1 x (irr-A11-12, irr-A3-4)	(1,3) : 1 x (irr-A11-12, irr-A3-4)	(1,4) : 1 x (irr-A11-12, irr-A3-4)	(1,5) : 1 x (irr-A11-12, irr-A3-4)	(1,6) : 1 x (irr-A11-12, irr-A3-4)
mdl-(1,5,0)-213-1A6851DEDEE2AF76	vertices = (vtx-A11-145-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A04-76-0-2)	Δ = 213	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(1) : 3 x (irr-A11-12)	(2) : 4 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 4 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 4 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 4 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 4 x (irr-A4-5) + 2 x (irr-A4-10)	(1,2) : 1 x (irr-A11-12, irr-A3-4)	(1,3) : 1 x (irr-A11-12, irr-A3-4)	(1,4) : 1 x (irr-A11-12, irr-A3-4)	(1,5) : 1 x (irr-A11-12, irr-A3-4)	(1,6) : 1 x (irr-A11-12, irr-A4-5)
