mdl-(1,6,0)-223-8FCC2B90FA582F02	vertices = (vtx-A11-145-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 223	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 4 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 4 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 4 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 4 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 4 x (irr-A3-4) + 2 x (irr-A3-6)	(7) : 4 x (irr-A3-4) + 2 x (irr-A3-6)	(1,2) : 1 x (irr-A11-12, irr-A3-4)	(1,3) : 1 x (irr-A11-12, irr-A3-4)	(1,4) : 1 x (irr-A11-12, irr-A3-4)	(1,5) : 1 x (irr-A11-12, irr-A3-4)	(1,6) : 1 x (irr-A11-12, irr-A3-4)	(1,7) : 1 x (irr-A11-12, irr-A3-4)
mdl-(1,6,0)-224-3D91D6BB343534A9	vertices = (vtx-A12-170-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 224	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(1) : 2 x (irr-A12-13)	(2) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(7) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(1,2) : 1 x (irr-A12-13, irr-A3-4)	(1,3) : 1 x (irr-A12-13, irr-A3-4)	(1,4) : 1 x (irr-A12-13, irr-A3-4)	(1,5) : 1 x (irr-A12-13, irr-A3-4)	(1,6) : 1 x (irr-A12-13, irr-A3-4)	(1,7) : 1 x (irr-A12-13, irr-A3-4)
mdl-(1,6,0)-226-D8480AF06DC50582	vertices = (vtx-A12-170-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A04-76-0-2)	Δ = 226	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(1) : 1 x (irr-A12-13)	(2) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(7) : 3 x (irr-A4-5) + 2 x (irr-A4-10)	(1,2) : 1 x (irr-A12-13, irr-A3-4)	(1,3) : 1 x (irr-A12-13, irr-A3-4)	(1,4) : 1 x (irr-A12-13, irr-A3-4)	(1,5) : 1 x (irr-A12-13, irr-A3-4)	(1,6) : 1 x (irr-A12-13, irr-A3-4)	(1,7) : 1 x (irr-A12-13, irr-A4-5)
mdl-(1,6,0)-226-9DBC6B70D414FD98	vertices = (vtx-A12-170-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-C03-89-0-2)	Δ = 226	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(7) : 3 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(1,2) : 1 x (irr-A12-13, irr-A3-4)	(1,3) : 1 x (irr-A12-13, irr-A3-4)	(1,4) : 1 x (irr-A12-13, irr-A3-4)	(1,5) : 1 x (irr-A12-13, irr-A3-4)	(1,6) : 1 x (irr-A12-13, irr-A3-4)	(1,7) : 1 x (irr-A12-13, irr-C3-6-q)
mdl-(1,6,0)-228-7DF6BDDD3DFD1237	vertices = (vtx-A12-170-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A05-91-0-2)	Δ = 228	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(7) : 3 x (irr-A5-6) + 2 x (irr-A5-15)	(1,2) : 1 x (irr-A12-13, irr-A3-4)	(1,3) : 1 x (irr-A12-13, irr-A3-4)	(1,4) : 1 x (irr-A12-13, irr-A3-4)	(1,5) : 1 x (irr-A12-13, irr-A3-4)	(1,6) : 1 x (irr-A12-13, irr-A3-4)	(1,7) : 1 x (irr-A12-13, irr-A5-6)
mdl-(1,6,0)-228-78E2056F0B3B9D85	vertices = (vtx-A12-170-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-C03-91-0-2)	Δ = 228	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(7) : 4.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,2) : 1 x (irr-A12-13, irr-A3-4)	(1,3) : 1 x (irr-A12-13, irr-A3-4)	(1,4) : 1 x (irr-A12-13, irr-A3-4)	(1,5) : 1 x (irr-A12-13, irr-A3-4)	(1,6) : 1 x (irr-A12-13, irr-A3-4)	(1,7) : 1 x (irr-A12-13, irr-C3-6-q)
mdl-(1,6,0)-228-41318CC0175487F5	vertices = (vtx-A12-170-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A04-76-0-2, vtx-A04-76-0-2)	Δ = 228	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 3 x (irr-A4-5) + 2 x (irr-A4-10)	(7) : 3 x (irr-A4-5) + 2 x (irr-A4-10)	(1,2) : 1 x (irr-A12-13, irr-A3-4)	(1,3) : 1 x (irr-A12-13, irr-A3-4)	(1,4) : 1 x (irr-A12-13, irr-A3-4)	(1,5) : 1 x (irr-A12-13, irr-A3-4)	(1,6) : 1 x (irr-A12-13, irr-A4-5)	(1,7) : 1 x (irr-A12-13, irr-A4-5)
mdl-(1,6,0)-229-98A5D46DE6F9F00B	vertices = (vtx-A12-170-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A05-92-0-2)	Δ = 229	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(7) : 4 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 1 x (irr-A5-15)	(1,2) : 1 x (irr-A12-13, irr-A3-4)	(1,3) : 1 x (irr-A12-13, irr-A3-4)	(1,4) : 1 x (irr-A12-13, irr-A3-4)	(1,5) : 1 x (irr-A12-13, irr-A3-4)	(1,6) : 1 x (irr-A12-13, irr-A3-4)	(1,7) : 1 x (irr-A12-13, irr-A5-6)
mdl-(1,6,0)-230-9707A996BC75A0A1	vertices = (vtx-A12-170-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A05-93-0-2)	Δ = 230	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 3 x (irr-A3-4) + 2 x (irr-A3-6)	(7) : 5 x (irr-A5-6) + 1 x (irr-A5-20-q)	(1,2) : 1 x (irr-A12-13, irr-A3-4)	(1,3) : 1 x (irr-A12-13, irr-A3-4)	(1,4) : 1 x (irr-A12-13, irr-A3-4)	(1,5) : 1 x (irr-A12-13, irr-A3-4)	(1,6) : 1 x (irr-A12-13, irr-A3-4)	(1,7) : 1 x (irr-A12-13, irr-A5-6)
mdl-(1,6,0)-227-C015DE6F2C636410	vertices = (vtx-A13-197-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 227	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(1) : 4 x (irr-A13-14)	(2) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(7) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(1,2) : 1 x (irr-A13-14, irr-A3-4)	(1,3) : 1 x (irr-A13-14, irr-A3-4)	(1,4) : 1 x (irr-A13-14, irr-A3-4)	(1,5) : 1 x (irr-A13-14, irr-A3-4)	(1,6) : 1 x (irr-A13-14, irr-A3-4)	(1,7) : 1 x (irr-A13-14, irr-A3-4)
mdl-(1,6,0)-227-AFD1527D9CAFBB85	vertices = (vtx-A13-197-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-C03-89-0-2)	Δ = 227	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(1) : 2 x (irr-A13-14)	(2) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(7) : 2 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(1,2) : 1 x (irr-A13-14, irr-A3-4)	(1,3) : 1 x (irr-A13-14, irr-A3-4)	(1,4) : 1 x (irr-A13-14, irr-A3-4)	(1,5) : 1 x (irr-A13-14, irr-A3-4)	(1,6) : 1 x (irr-A13-14, irr-A3-4)	(1,7) : 1 x (irr-A13-14, irr-C3-6-q)
