mdl-(1,7,0)-232-11D577C0B8768614	vertices = (vtx-A13-197-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 232	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(7) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(8) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(1,2) : 1 x (irr-A13-14, irr-A3-4)	(1,3) : 1 x (irr-A13-14, irr-A3-4)	(1,4) : 1 x (irr-A13-14, irr-A3-4)	(1,5) : 1 x (irr-A13-14, irr-A3-4)	(1,6) : 1 x (irr-A13-14, irr-A3-4)	(1,7) : 1 x (irr-A13-14, irr-A3-4)	(1,8) : 1 x (irr-A13-14, irr-A3-4)
mdl-(1,7,0)-231-7DA7E7C6ED00A59E	vertices = (vtx-A14-226-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-C03-89-0-2)	Δ = 231	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(7) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(8) : 1 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(1,2) : 1 x (irr-A14-15, irr-A3-4)	(1,3) : 1 x (irr-A14-15, irr-A3-4)	(1,4) : 1 x (irr-A14-15, irr-A3-4)	(1,5) : 1 x (irr-A14-15, irr-A3-4)	(1,6) : 1 x (irr-A14-15, irr-A3-4)	(1,7) : 1 x (irr-A14-15, irr-A3-4)	(1,8) : 1 x (irr-A14-15, irr-C3-6-q)
mdl-(1,7,0)-233-18C23CDC2038C19E	vertices = (vtx-A14-226-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 233	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(1) : 2 x (irr-A14-15)	(2) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(7) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(8) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(1,2) : 1 x (irr-A14-15, irr-A3-4)	(1,3) : 1 x (irr-A14-15, irr-A3-4)	(1,4) : 1 x (irr-A14-15, irr-A3-4)	(1,5) : 1 x (irr-A14-15, irr-A3-4)	(1,6) : 1 x (irr-A14-15, irr-A3-4)	(1,7) : 1 x (irr-A14-15, irr-A3-4)	(1,8) : 1 x (irr-A14-15, irr-A3-4)
mdl-(1,7,0)-233-7B5FFE8F1A96B1CA	vertices = (vtx-A14-226-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A04-76-0-2)	Δ = 233	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(1) : 1 x (irr-A14-15)	(2) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(7) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(8) : 1 x (irr-A4-5) + 2 x (irr-A4-10)	(1,2) : 1 x (irr-A14-15, irr-A3-4)	(1,3) : 1 x (irr-A14-15, irr-A3-4)	(1,4) : 1 x (irr-A14-15, irr-A3-4)	(1,5) : 1 x (irr-A14-15, irr-A3-4)	(1,6) : 1 x (irr-A14-15, irr-A3-4)	(1,7) : 1 x (irr-A14-15, irr-A3-4)	(1,8) : 1 x (irr-A14-15, irr-A4-5)
mdl-(1,7,0)-233-473BF98D34812DF5	vertices = (vtx-A14-226-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A05-91-0-2)	Δ = 233	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(7) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(8) : 1 x (irr-A5-6) + 2 x (irr-A5-15)	(1,2) : 1 x (irr-A14-15, irr-A3-4)	(1,3) : 1 x (irr-A14-15, irr-A3-4)	(1,4) : 1 x (irr-A14-15, irr-A3-4)	(1,5) : 1 x (irr-A14-15, irr-A3-4)	(1,6) : 1 x (irr-A14-15, irr-A3-4)	(1,7) : 1 x (irr-A14-15, irr-A3-4)	(1,8) : 1 x (irr-A14-15, irr-A5-6)
mdl-(1,7,0)-233-1919F70B8F246167	vertices = (vtx-A14-226-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-C03-91-0-2)	Δ = 233	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(7) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(8) : 2.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,2) : 1 x (irr-A14-15, irr-A3-4)	(1,3) : 1 x (irr-A14-15, irr-A3-4)	(1,4) : 1 x (irr-A14-15, irr-A3-4)	(1,5) : 1 x (irr-A14-15, irr-A3-4)	(1,6) : 1 x (irr-A14-15, irr-A3-4)	(1,7) : 1 x (irr-A14-15, irr-A3-4)	(1,8) : 1 x (irr-A14-15, irr-C3-6-q)
mdl-(1,7,0)-233-4CB86B1FBB1B75D2	vertices = (vtx-A14-226-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A04-76-0-2, vtx-A04-76-0-2)	Δ = 233	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(7) : 1 x (irr-A4-5) + 2 x (irr-A4-10)	(8) : 1 x (irr-A4-5) + 2 x (irr-A4-10)	(1,2) : 1 x (irr-A14-15, irr-A3-4)	(1,3) : 1 x (irr-A14-15, irr-A3-4)	(1,4) : 1 x (irr-A14-15, irr-A3-4)	(1,5) : 1 x (irr-A14-15, irr-A3-4)	(1,6) : 1 x (irr-A14-15, irr-A3-4)	(1,7) : 1 x (irr-A14-15, irr-A4-5)	(1,8) : 1 x (irr-A14-15, irr-A4-5)
mdl-(1,7,0)-234-CF43C73A28930D1E	vertices = (vtx-A14-226-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A05-92-0-2)	Δ = 234	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(7) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(8) : 2 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 1 x (irr-A5-15)	(1,2) : 1 x (irr-A14-15, irr-A3-4)	(1,3) : 1 x (irr-A14-15, irr-A3-4)	(1,4) : 1 x (irr-A14-15, irr-A3-4)	(1,5) : 1 x (irr-A14-15, irr-A3-4)	(1,6) : 1 x (irr-A14-15, irr-A3-4)	(1,7) : 1 x (irr-A14-15, irr-A3-4)	(1,8) : 1 x (irr-A14-15, irr-A5-6)
mdl-(1,7,0)-235-DCB10A65EB3F1C5D	vertices = (vtx-A14-226-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A05-93-0-2)	Δ = 235	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(7) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(8) : 3 x (irr-A5-6) + 1 x (irr-A5-20-q)	(1,2) : 1 x (irr-A14-15, irr-A3-4)	(1,3) : 1 x (irr-A14-15, irr-A3-4)	(1,4) : 1 x (irr-A14-15, irr-A3-4)	(1,5) : 1 x (irr-A14-15, irr-A3-4)	(1,6) : 1 x (irr-A14-15, irr-A3-4)	(1,7) : 1 x (irr-A14-15, irr-A3-4)	(1,8) : 1 x (irr-A14-15, irr-A5-6)
mdl-(1,7,0)-228-284809DD07756F04	vertices = (vtx-A15-257-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-C03-89-0-2, vtx-C03-89-0-2)	Δ = 228	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 2 x (irr-A3-6)	(3) : 2 x (irr-A3-6)	(4) : 2 x (irr-A3-6)	(5) : 2 x (irr-A3-6)	(6) : 2 x (irr-A3-6)	(7) : 1 x (irr-C3-14a)	(8) : 1 x (irr-C3-14a)	(1,2) : 1 x (irr-A15-16, irr-A3-4)	(1,3) : 1 x (irr-A15-16, irr-A3-4)	(1,4) : 1 x (irr-A15-16, irr-A3-4)	(1,5) : 1 x (irr-A15-16, irr-A3-4)	(1,6) : 1 x (irr-A15-16, irr-A3-4)	(1,7) : 1 x (irr-A15-16, irr-C3-6-q)	(1,8) : 1 x (irr-A15-16, irr-C3-6-q)
mdl-(1,7,0)-230-2F2AF11B0BB9F454	vertices = (vtx-A15-257-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-C04-119-0-2)	Δ = 230	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 2 x (irr-A3-6)	(3) : 2 x (irr-A3-6)	(4) : 2 x (irr-A3-6)	(5) : 2 x (irr-A3-6)	(6) : 2 x (irr-A3-6)	(7) : 2 x (irr-A3-6)	(8) : 1 x (irr-C4-27)	(1,2) : 1 x (irr-A15-16, irr-A3-4)	(1,3) : 1 x (irr-A15-16, irr-A3-4)	(1,4) : 1 x (irr-A15-16, irr-A3-4)	(1,5) : 1 x (irr-A15-16, irr-A3-4)	(1,6) : 1 x (irr-A15-16, irr-A3-4)	(1,7) : 1 x (irr-A15-16, irr-A3-4)	(1,8) : 1 x (irr-A15-16, irr-C4-8-q)
