mdl-(1,8,0)-233-A408A8D939E0E1C9	vertices = (vtx-A15-257-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 233	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 2 x (irr-A3-6)	(3) : 2 x (irr-A3-6)	(4) : 2 x (irr-A3-6)	(5) : 2 x (irr-A3-6)	(6) : 2 x (irr-A3-6)	(7) : 2 x (irr-A3-6)	(8) : 2 x (irr-A3-6)	(9) : 2 x (irr-A3-6)	(1,2) : 1 x (irr-A15-16, irr-A3-4)	(1,3) : 1 x (irr-A15-16, irr-A3-4)	(1,4) : 1 x (irr-A15-16, irr-A3-4)	(1,5) : 1 x (irr-A15-16, irr-A3-4)	(1,6) : 1 x (irr-A15-16, irr-A3-4)	(1,7) : 1 x (irr-A15-16, irr-A3-4)	(1,8) : 1 x (irr-A15-16, irr-A3-4)	(1,9) : 1 x (irr-A15-16, irr-A3-4)
mdl-(1,8,0)-233-82361BC1A142AC65	vertices = (vtx-B16-297-n4-n2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2)	Δ = 233	bI-odd = ()	bI-even = ([[2,2],[1,-2],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(1) : 1 x (irr-B16-33)	(2) : 1 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(3) : 1 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(4) : 1 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(5) : 1 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(6) : 1 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(7) : 1 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(8) : 1 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(9) : 1 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,2) : 0.5 x (irr-B16-33, irr-C3-6-q)	(1,3) : 0.5 x (irr-B16-33, irr-C3-6-q)	(1,4) : 0.5 x (irr-B16-33, irr-C3-6-q)	(1,5) : 0.5 x (irr-B16-33, irr-C3-6-q)	(1,6) : 0.5 x (irr-B16-33, irr-C3-6-q)	(1,7) : 0.5 x (irr-B16-33, irr-C3-6-q)	(1,8) : 0.5 x (irr-B16-33, irr-C3-6-q)	(1,9) : 0.5 x (irr-B16-33, irr-C3-6-q)
mdl-(1,8,0)-238-3EFCB3A9E37E26A5	vertices = (vtx-B17-350-n4-n2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2)	Δ = 238	bI-odd = ()	bI-even = ([[2,2],[1,-2],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(1) : 3 x (irr-B17-35)	(2) : 0.5 x (irr-C3-14b-q)	(3) : 0.5 x (irr-C3-14b-q)	(4) : 0.5 x (irr-C3-14b-q)	(5) : 0.5 x (irr-C3-14b-q)	(6) : 0.5 x (irr-C3-14b-q)	(7) : 0.5 x (irr-C3-14b-q)	(8) : 0.5 x (irr-C3-14b-q)	(9) : 0.5 x (irr-C3-14b-q)	(1,2) : 0.5 x (irr-B17-35, irr-C3-6-q)	(1,3) : 0.5 x (irr-B17-35, irr-C3-6-q)	(1,4) : 0.5 x (irr-B17-35, irr-C3-6-q)	(1,5) : 0.5 x (irr-B17-35, irr-C3-6-q)	(1,6) : 0.5 x (irr-B17-35, irr-C3-6-q)	(1,7) : 0.5 x (irr-B17-35, irr-C3-6-q)	(1,8) : 0.5 x (irr-B17-35, irr-C3-6-q)	(1,9) : 0.5 x (irr-B17-35, irr-C3-6-q)
mdl-(1,8,0)-238-3BA038D0537B5034	vertices = (vtx-C10-350-n1-1, vtx-G02-56-0-2, vtx-G02-56-0-2, vtx-G02-56-0-2, vtx-G02-56-0-2, vtx-G02-56-0-2, vtx-G02-56-0-2, vtx-G02-56-0-2, vtx-G02-56-0-2)	Δ = 238	bI-odd = ([[3,1],[0,-1],[1,1],[1,1],[1,1],[1,1],[1,1],[1,1],[1,1],[1,1]])	bI-even = ()	(1,2) : 0.5 x (irr-C10-20-q, irr-G2-7)	(1,3) : 0.5 x (irr-C10-20-q, irr-G2-7)	(1,4) : 0.5 x (irr-C10-20-q, irr-G2-7)	(1,5) : 0.5 x (irr-C10-20-q, irr-G2-7)	(1,6) : 0.5 x (irr-C10-20-q, irr-G2-7)	(1,7) : 0.5 x (irr-C10-20-q, irr-G2-7)	(1,8) : 0.5 x (irr-C10-20-q, irr-G2-7)	(1,9) : 0.5 x (irr-C10-20-q, irr-G2-7)
mdl-(1,8,0)-216-FD3294D9CAF56BF6	vertices = (vtx-D16-272-n4-n2, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-C03-89-0-2)	Δ = 216	bI-odd = ()	bI-even = ([[2,2],[1,-2],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 1 x (irr-C3-14a)	(3) : 1 x (irr-C3-14a)	(4) : 1 x (irr-C3-14a)	(5) : 1 x (irr-C3-14a)	(6) : 1 x (irr-C3-14a)	(7) : 1 x (irr-C3-14a)	(8) : 1 x (irr-C3-14a)	(9) : 1 x (irr-C3-14a)	(1,2) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,3) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,4) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,5) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,6) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,7) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,8) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,9) : 0.5 x (irr-D16-32, irr-C3-6-q)
mdl-(1,8,0)-218-7FC1C778657ECE02	vertices = (vtx-D16-272-n4-n2, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-C03-91-0-2)	Δ = 218	bI-odd = ()	bI-even = ([[2,2],[1,-2],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 1 x (irr-C3-14a)	(3) : 1 x (irr-C3-14a)	(4) : 1 x (irr-C3-14a)	(5) : 1 x (irr-C3-14a)	(6) : 1 x (irr-C3-14a)	(7) : 1 x (irr-C3-14a)	(8) : 1 x (irr-C3-14a)	(9) : 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,2) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,3) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,4) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,5) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,6) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,7) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,8) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,9) : 0.5 x (irr-D16-32, irr-C3-6-q)
mdl-(1,8,0)-220-5A5DE7352F18579F	vertices = (vtx-D16-272-n4-n2, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2)	Δ = 220	bI-odd = ()	bI-even = ([[2,2],[1,-2],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 1 x (irr-C3-14a)	(3) : 1 x (irr-C3-14a)	(4) : 1 x (irr-C3-14a)	(5) : 1 x (irr-C3-14a)	(6) : 1 x (irr-C3-14a)	(7) : 1 x (irr-C3-14a)	(8) : 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(9) : 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,2) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,3) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,4) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,5) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,6) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,7) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,8) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,9) : 0.5 x (irr-D16-32, irr-C3-6-q)
mdl-(1,8,0)-222-473139F6D30B9109	vertices = (vtx-D16-272-n4-n2, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2)	Δ = 222	bI-odd = ()	bI-even = ([[2,2],[1,-2],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 1 x (irr-C3-14a)	(3) : 1 x (irr-C3-14a)	(4) : 1 x (irr-C3-14a)	(5) : 1 x (irr-C3-14a)	(6) : 1 x (irr-C3-14a)	(7) : 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(8) : 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(9) : 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,2) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,3) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,4) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,5) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,6) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,7) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,8) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,9) : 0.5 x (irr-D16-32, irr-C3-6-q)
mdl-(1,8,0)-224-843268FD41AD12C3	vertices = (vtx-D16-272-n4-n2, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2)	Δ = 224	bI-odd = ()	bI-even = ([[2,2],[1,-2],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 1 x (irr-C3-14a)	(3) : 1 x (irr-C3-14a)	(4) : 1 x (irr-C3-14a)	(5) : 1 x (irr-C3-14a)	(6) : 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(7) : 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(8) : 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(9) : 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,2) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,3) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,4) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,5) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,6) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,7) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,8) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,9) : 0.5 x (irr-D16-32, irr-C3-6-q)
mdl-(1,8,0)-226-4CDCB1484BAF8945	vertices = (vtx-D16-272-n4-n2, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2)	Δ = 226	bI-odd = ()	bI-even = ([[2,2],[1,-2],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 1 x (irr-C3-14a)	(3) : 1 x (irr-C3-14a)	(4) : 1 x (irr-C3-14a)	(5) : 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(6) : 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(7) : 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(8) : 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(9) : 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,2) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,3) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,4) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,5) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,6) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,7) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,8) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,9) : 0.5 x (irr-D16-32, irr-C3-6-q)
mdl-(1,8,0)-228-C847C67FA8E4FC62	vertices = (vtx-D16-272-n4-n2, vtx-C03-89-0-2, vtx-C03-89-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2)	Δ = 228	bI-odd = ()	bI-even = ([[2,2],[1,-2],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 1 x (irr-C3-14a)	(3) : 1 x (irr-C3-14a)	(4) : 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(5) : 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(6) : 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(7) : 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(8) : 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(9) : 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,2) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,3) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,4) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,5) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,6) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,7) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,8) : 0.5 x (irr-D16-32, irr-C3-6-q)	(1,9) : 0.5 x (irr-D16-32, irr-C3-6-q)
