irr-C4-8-q	8	1	1	0	(1,0,0,0)
irr-C4-27	27	6	0	3	(0,1,0,0)
irr-C4-36	36	10	16	3	(2,0,0,0)
irr-C4-42	42	14	-16	15	(0,0,0,1)
irr-C4-48-q	48	14	-10	12	(0,0,1,0)
irr-C4-120-q	120	55	127	36	(3,0,0,0)
irr-C4-160-q	160	60	36	48	(1,1,0,0)
irr-C4-288-q	288	140	-76	192	(1,0,0,1)
irr-C4-308	308	154	16	195	(0,2,0,0)
irr-C4-315	315	140	-16	162	(1,0,1,0)
irr-C4-330	330	220	688	234	(4,0,0,0)
irr-C4-594a	594	330	432	381	(2,1,0,0)
irr-C4-594b	594	462	-816	1143	(0,0,0,2)
irr-C4-792a-q	792	451	-221	720	(0,1,1,0)
irr-C4-792b	792	484	-416	870	(0,1,0,1)
irr-C4-792c-q	792	715	2899	1092	(5,0,0,0)
irr-C4-825	825	550	-560	1095	(0,0,2,0)
irr-C4-1056-q	1056	748	-1004	1632	(0,0,1,1)
irr-C4-1232-q	1232	770	458	1164	(2,0,1,0)
irr-C4-1512-q	1512	1029	621	1716	(1,2,0,0)
irr-C4-1728-q	1728	1320	2808	2064	(3,1,0,0)
