vtx-A06-50-n2-0	Δ = 50	bi.bi = -2	b0.bi = 0	hypers = 14 x (irr-A6-7)
vtx-A06-78-n1-1	Δ = 78	bi.bi = -1	b0.bi = 1	hypers = 15 x (irr-A6-7) + 1 x (irr-A6-21)
vtx-A06-106-0-2	Δ = 106	bi.bi = 0	b0.bi = 2	hypers = 16 x (irr-A6-7) + 2 x (irr-A6-21)
vtx-A06-134-1-3	Δ = 134	bi.bi = 1	b0.bi = 3	hypers = 17 x (irr-A6-7) + 3 x (irr-A6-21)
vtx-A06-141-1-3	Δ = 141	bi.bi = 1	b0.bi = 3	hypers = 22 x (irr-A6-7) + 1 x (irr-A6-35)
vtx-A06-162-2-4	Δ = 162	bi.bi = 2	b0.bi = 4	hypers = 18 x (irr-A6-7) + 4 x (irr-A6-21)
vtx-A06-169-2-4	Δ = 169	bi.bi = 2	b0.bi = 4	hypers = 23 x (irr-A6-7) + 1 x (irr-A6-21) + 1 x (irr-A6-35)
vtx-A06-190-3-5	Δ = 190	bi.bi = 3	b0.bi = 5	hypers = 19 x (irr-A6-7) + 5 x (irr-A6-21)
vtx-A06-197-3-5	Δ = 197	bi.bi = 3	b0.bi = 5	hypers = 24 x (irr-A6-7) + 2 x (irr-A6-21) + 1 x (irr-A6-35)
vtx-A06-218-4-6	Δ = 218	bi.bi = 4	b0.bi = 6	hypers = 20 x (irr-A6-7) + 6 x (irr-A6-21)
vtx-A06-224-8-8	Δ = 224	bi.bi = 8	b0.bi = 8	hypers = 8 x (irr-A6-7) + 8 x (irr-A6-21) + 1 x (irr-A6-48)
vtx-A06-225-4-6	Δ = 225	bi.bi = 4	b0.bi = 6	hypers = 25 x (irr-A6-7) + 3 x (irr-A6-21) + 1 x (irr-A6-35)
vtx-A06-225-8-8	Δ = 225	bi.bi = 8	b0.bi = 8	hypers = 8 x (irr-A6-7) + 9 x (irr-A6-21) + 1 x (irr-A6-28)
vtx-A06-231-8-8	Δ = 231	bi.bi = 8	b0.bi = 8	hypers = 13 x (irr-A6-7) + 5 x (irr-A6-21) + 1 x (irr-A6-35) + 1 x (irr-A6-48)
vtx-A06-232-4-6	Δ = 232	bi.bi = 4	b0.bi = 6	hypers = 30 x (irr-A6-7) + 2 x (irr-A6-35)
vtx-A06-232-8-8	Δ = 232	bi.bi = 8	b0.bi = 8	hypers = 13 x (irr-A6-7) + 6 x (irr-A6-21) + 1 x (irr-A6-28) + 1 x (irr-A6-35)
vtx-A06-237-12-10	Δ = 237	bi.bi = 12	b0.bi = 10	hypers = 1 x (irr-A6-7) + 7 x (irr-A6-21) + 1 x (irr-A6-35) + 2 x (irr-A6-48)
vtx-A06-237-15-11	Δ = 237	bi.bi = 15	b0.bi = 11	hypers = 3 x (irr-A6-7) + 1 x (irr-A6-28) + 4 x (irr-A6-35) + 2 x (irr-A6-48)
vtx-A06-238-8-8	Δ = 238	bi.bi = 8	b0.bi = 8	hypers = 18 x (irr-A6-7) + 2 x (irr-A6-21) + 2 x (irr-A6-35) + 1 x (irr-A6-48)
vtx-A06-238-12-10	Δ = 238	bi.bi = 12	b0.bi = 10	hypers = 1 x (irr-A6-7) + 8 x (irr-A6-21) + 1 x (irr-A6-28) + 1 x (irr-A6-35) + 1 x (irr-A6-48)
vtx-A06-238-15-11	Δ = 238	bi.bi = 15	b0.bi = 11	hypers = 3 x (irr-A6-7) + 1 x (irr-A6-21) + 2 x (irr-A6-28) + 4 x (irr-A6-35) + 1 x (irr-A6-48)
vtx-A06-239-8-8	Δ = 239	bi.bi = 8	b0.bi = 8	hypers = 18 x (irr-A6-7) + 3 x (irr-A6-21) + 1 x (irr-A6-28) + 2 x (irr-A6-35)
vtx-A06-239-12-10	Δ = 239	bi.bi = 12	b0.bi = 10	hypers = 1 x (irr-A6-7) + 9 x (irr-A6-21) + 2 x (irr-A6-28) + 1 x (irr-A6-35)
vtx-A06-239-15-11	Δ = 239	bi.bi = 15	b0.bi = 11	hypers = 3 x (irr-A6-7) + 2 x (irr-A6-21) + 3 x (irr-A6-28) + 4 x (irr-A6-35)
vtx-A06-244-12-10	Δ = 244	bi.bi = 12	b0.bi = 10	hypers = 6 x (irr-A6-7) + 4 x (irr-A6-21) + 2 x (irr-A6-35) + 2 x (irr-A6-48)
vtx-A06-245-12-10	Δ = 245	bi.bi = 12	b0.bi = 10	hypers = 6 x (irr-A6-7) + 5 x (irr-A6-21) + 1 x (irr-A6-28) + 2 x (irr-A6-35) + 1 x (irr-A6-48)
