vtx-C04-92-n1-1	Δ = 92	bi.bi = -1	b0.bi = 1	hypers = 16 x (irr-C4-8-q)
vtx-C04-119-0-2	Δ = 119	bi.bi = 0	b0.bi = 2	hypers = 16 x (irr-C4-8-q) + 1 x (irr-C4-27)
vtx-C04-146-1-3	Δ = 146	bi.bi = 1	b0.bi = 3	hypers = 16 x (irr-C4-8-q) + 2 x (irr-C4-27)
vtx-C04-156-1-3	Δ = 156	bi.bi = 1	b0.bi = 3	hypers = 21 x (irr-C4-8-q) + 0.5 x (irr-C4-48-q)
vtx-C04-173-2-4	Δ = 173	bi.bi = 2	b0.bi = 4	hypers = 16 x (irr-C4-8-q) + 3 x (irr-C4-27)
vtx-C04-183-2-4	Δ = 183	bi.bi = 2	b0.bi = 4	hypers = 21 x (irr-C4-8-q) + 0.5 x (irr-C4-48-q) + 1 x (irr-C4-27)
vtx-C04-200-3-5	Δ = 200	bi.bi = 3	b0.bi = 5	hypers = 16 x (irr-C4-8-q) + 4 x (irr-C4-27)
vtx-C04-210-3-5	Δ = 210	bi.bi = 3	b0.bi = 5	hypers = 21 x (irr-C4-8-q) + 0.5 x (irr-C4-48-q) + 2 x (irr-C4-27)
vtx-C04-216-8-8	Δ = 216	bi.bi = 8	b0.bi = 8	hypers = 8 x (irr-C4-27) + 1 x (irr-C4-36)
vtx-C04-220-3-5	Δ = 220	bi.bi = 3	b0.bi = 5	hypers = 26 x (irr-C4-8-q) + 1 x (irr-C4-48-q)
vtx-C04-226-8-8	Δ = 226	bi.bi = 8	b0.bi = 8	hypers = 5 x (irr-C4-8-q) + 0.5 x (irr-C4-48-q) + 6 x (irr-C4-27) + 1 x (irr-C4-36)
vtx-C04-227-4-6	Δ = 227	bi.bi = 4	b0.bi = 6	hypers = 16 x (irr-C4-8-q) + 5 x (irr-C4-27)
vtx-C04-234-18-12	Δ = 234	bi.bi = 18	b0.bi = 12	hypers = 4 x (irr-C4-36) + 3 x (irr-C4-42)
vtx-C04-236-8-8	Δ = 236	bi.bi = 8	b0.bi = 8	hypers = 10 x (irr-C4-8-q) + 1 x (irr-C4-48-q) + 4 x (irr-C4-27) + 1 x (irr-C4-36)
vtx-C04-237-4-6	Δ = 237	bi.bi = 4	b0.bi = 6	hypers = 21 x (irr-C4-8-q) + 0.5 x (irr-C4-48-q) + 3 x (irr-C4-27)
vtx-C04-237-15-11	Δ = 237	bi.bi = 15	b0.bi = 11	hypers = 3 x (irr-C4-27) + 3 x (irr-C4-36) + 2 x (irr-C4-42)
vtx-C04-240-12-10	Δ = 240	bi.bi = 12	b0.bi = 10	hypers = 6 x (irr-C4-27) + 2 x (irr-C4-36) + 1 x (irr-C4-42)
vtx-C04-242-15-11	Δ = 242	bi.bi = 15	b0.bi = 11	hypers = 4 x (irr-C4-8-q) + 2 x (irr-C4-48-q) + 3 x (irr-C4-36) + 1 x (irr-C4-42)
vtx-C04-243-9-9	Δ = 243	bi.bi = 9	b0.bi = 9	hypers = 9 x (irr-C4-27) + 1 x (irr-C4-36)
vtx-C04-245-12-10	Δ = 245	bi.bi = 12	b0.bi = 10	hypers = 4 x (irr-C4-8-q) + 2 x (irr-C4-48-q) + 3 x (irr-C4-27) + 2 x (irr-C4-36)
vtx-C04-246-8-8	Δ = 246	bi.bi = 8	b0.bi = 8	hypers = 15 x (irr-C4-8-q) + 1.5 x (irr-C4-48-q) + 2 x (irr-C4-27) + 1 x (irr-C4-36)
vtx-C04-247-4-6	Δ = 247	bi.bi = 4	b0.bi = 6	hypers = 26 x (irr-C4-8-q) + 1 x (irr-C4-48-q) + 1 x (irr-C4-27)
vtx-C04-250-12-10	Δ = 250	bi.bi = 12	b0.bi = 10	hypers = 5 x (irr-C4-8-q) + 0.5 x (irr-C4-48-q) + 4 x (irr-C4-27) + 2 x (irr-C4-36) + 1 x (irr-C4-42)
vtx-C04-251-8-8	Δ = 251	bi.bi = 8	b0.bi = 8	hypers = 16 x (irr-C4-8-q) + 3 x (irr-C4-27) + 1 x (irr-C4-36) + 1 x (irr-C4-42)
vtx-C04-251-18-12	Δ = 251	bi.bi = 18	b0.bi = 12	hypers = 3 x (irr-C4-8-q) + 0.5 x (irr-C4-48-q) + 3 x (irr-C4-27) + 1 x (irr-C4-36) + 1 x (irr-C4-42) + 0.5 x (irr-C4-160-q)
vtx-C04-253-9-9	Δ = 253	bi.bi = 9	b0.bi = 9	hypers = 5 x (irr-C4-8-q) + 0.5 x (irr-C4-48-q) + 7 x (irr-C4-27) + 1 x (irr-C4-36)
vtx-C04-254-5-7	Δ = 254	bi.bi = 5	b0.bi = 7	hypers = 16 x (irr-C4-8-q) + 6 x (irr-C4-27)
vtx-C04-254-15-11	Δ = 254	bi.bi = 15	b0.bi = 11	hypers = 3 x (irr-C4-8-q) + 0.5 x (irr-C4-48-q) + 6 x (irr-C4-27) + 0.5 x (irr-C4-160-q)
vtx-C04-255-12-10	Δ = 255	bi.bi = 12	b0.bi = 10	hypers = 9 x (irr-C4-8-q) + 2.5 x (irr-C4-48-q) + 1 x (irr-C4-27) + 2 x (irr-C4-36)
vtx-C04-256-8-8	Δ = 256	bi.bi = 8	b0.bi = 8	hypers = 20 x (irr-C4-8-q) + 2 x (irr-C4-48-q) + 1 x (irr-C4-36)
vtx-C04-260-12-10	Δ = 260	bi.bi = 12	b0.bi = 10	hypers = 10 x (irr-C4-8-q) + 1 x (irr-C4-48-q) + 2 x (irr-C4-27) + 2 x (irr-C4-36) + 1 x (irr-C4-42)
vtx-C04-261-8-8	Δ = 261	bi.bi = 8	b0.bi = 8	hypers = 21 x (irr-C4-8-q) + 0.5 x (irr-C4-48-q) + 1 x (irr-C4-27) + 1 x (irr-C4-36) + 1 x (irr-C4-42)
vtx-C04-262-4-6	Δ = 262	bi.bi = 4	b0.bi = 6	hypers = 32 x (irr-C4-8-q) + 1 x (irr-C4-42)
vtx-C04-263-9-9	Δ = 263	bi.bi = 9	b0.bi = 9	hypers = 10 x (irr-C4-8-q) + 1 x (irr-C4-48-q) + 5 x (irr-C4-27) + 1 x (irr-C4-36)
vtx-C04-264-5-7	Δ = 264	bi.bi = 5	b0.bi = 7	hypers = 21 x (irr-C4-8-q) + 0.5 x (irr-C4-48-q) + 4 x (irr-C4-27)
vtx-C04-264-15-11	Δ = 264	bi.bi = 15	b0.bi = 11	hypers = 8 x (irr-C4-8-q) + 1 x (irr-C4-48-q) + 4 x (irr-C4-27) + 0.5 x (irr-C4-160-q)
vtx-C04-264-16-12-a	Δ = 264	bi.bi = 16	b0.bi = 12	hypers = 3 x (irr-C4-8-q) + 3.5 x (irr-C4-48-q) + 3 x (irr-C4-36)
vtx-C04-264-16-12-b	Δ = 264	bi.bi = 16	b0.bi = 12	hypers = 4 x (irr-C4-27) + 3 x (irr-C4-36) + 2 x (irr-C4-42)
vtx-C04-269-16-12	Δ = 269	bi.bi = 16	b0.bi = 12	hypers = 4 x (irr-C4-8-q) + 2 x (irr-C4-48-q) + 1 x (irr-C4-27) + 3 x (irr-C4-36) + 1 x (irr-C4-42)
vtx-C04-270-12-10	Δ = 270	bi.bi = 12	b0.bi = 10	hypers = 15 x (irr-C4-8-q) + 1.5 x (irr-C4-48-q) + 2 x (irr-C4-36) + 1 x (irr-C4-42)
vtx-C04-272-64-24	Δ = 272	bi.bi = 64	b0.bi = 24	hypers = 1 x (irr-C4-308)
vtx-C04-273-9-9	Δ = 273	bi.bi = 9	b0.bi = 9	hypers = 15 x (irr-C4-8-q) + 1.5 x (irr-C4-48-q) + 3 x (irr-C4-27) + 1 x (irr-C4-36)
vtx-C04-274-5-7	Δ = 274	bi.bi = 5	b0.bi = 7	hypers = 26 x (irr-C4-8-q) + 1 x (irr-C4-48-q) + 2 x (irr-C4-27)
vtx-C04-274-15-11	Δ = 274	bi.bi = 15	b0.bi = 11	hypers = 13 x (irr-C4-8-q) + 1.5 x (irr-C4-48-q) + 2 x (irr-C4-27) + 0.5 x (irr-C4-160-q)
vtx-C04-275-12-10	Δ = 275	bi.bi = 12	b0.bi = 10	hypers = 16 x (irr-C4-8-q) + 1 x (irr-C4-27) + 2 x (irr-C4-36) + 2 x (irr-C4-42)
vtx-C04-276-18-12	Δ = 276	bi.bi = 18	b0.bi = 12	hypers = 14 x (irr-C4-8-q) + 1 x (irr-C4-36) + 2 x (irr-C4-42) + 0.5 x (irr-C4-160-q)
vtx-C04-278-9-9	Δ = 278	bi.bi = 9	b0.bi = 9	hypers = 16 x (irr-C4-8-q) + 4 x (irr-C4-27) + 1 x (irr-C4-36) + 1 x (irr-C4-42)
vtx-C04-279-15-11	Δ = 279	bi.bi = 15	b0.bi = 11	hypers = 14 x (irr-C4-8-q) + 3 x (irr-C4-27) + 1 x (irr-C4-42) + 0.5 x (irr-C4-160-q)
vtx-C04-281-6-8	Δ = 281	bi.bi = 6	b0.bi = 8	hypers = 16 x (irr-C4-8-q) + 7 x (irr-C4-27)
vtx-C04-281-16-12	Δ = 281	bi.bi = 16	b0.bi = 12	hypers = 3 x (irr-C4-8-q) + 0.5 x (irr-C4-48-q) + 7 x (irr-C4-27) + 0.5 x (irr-C4-160-q)
vtx-C04-283-9-9	Δ = 283	bi.bi = 9	b0.bi = 9	hypers = 20 x (irr-C4-8-q) + 2 x (irr-C4-48-q) + 1 x (irr-C4-27) + 1 x (irr-C4-36)
vtx-C04-284-5-7	Δ = 284	bi.bi = 5	b0.bi = 7	hypers = 31 x (irr-C4-8-q) + 1.5 x (irr-C4-48-q)
vtx-C04-284-15-11	Δ = 284	bi.bi = 15	b0.bi = 11	hypers = 18 x (irr-C4-8-q) + 2 x (irr-C4-48-q) + 0.5 x (irr-C4-160-q)
vtx-C04-288-9-9	Δ = 288	bi.bi = 9	b0.bi = 9	hypers = 21 x (irr-C4-8-q) + 0.5 x (irr-C4-48-q) + 2 x (irr-C4-27) + 1 x (irr-C4-36) + 1 x (irr-C4-42)
vtx-C04-288-20-14	Δ = 288	bi.bi = 20	b0.bi = 14	hypers = 2 x (irr-C4-27) + 4 x (irr-C4-36) + 3 x (irr-C4-42)
