vtx-D04-n28-n4-n2	Δ = -28	bi.bi = -4	b0.bi = -2	hypers = 
vtx-D04-n4-n3-n1	Δ = -4	bi.bi = -3	b0.bi = -1	hypers = 1 x (irr-D4-8a) + 2 x (irr-D4-8b)
vtx-D04-20-n2-0	Δ = 20	bi.bi = -2	b0.bi = 0	hypers = 2 x (irr-D4-8a) + 4 x (irr-D4-8b)
vtx-D04-44-n1-1	Δ = 44	bi.bi = -1	b0.bi = 1	hypers = 3 x (irr-D4-8a) + 6 x (irr-D4-8b)
vtx-D04-68-0-2	Δ = 68	bi.bi = 0	b0.bi = 2	hypers = 4 x (irr-D4-8a) + 8 x (irr-D4-8b)
vtx-D04-92-1-3	Δ = 92	bi.bi = 1	b0.bi = 3	hypers = 5 x (irr-D4-8a) + 10 x (irr-D4-8b)
vtx-D04-116-2-4	Δ = 116	bi.bi = 2	b0.bi = 4	hypers = 6 x (irr-D4-8a) + 12 x (irr-D4-8b)
vtx-D04-140-3-5	Δ = 140	bi.bi = 3	b0.bi = 5	hypers = 7 x (irr-D4-8a) + 14 x (irr-D4-8b)
vtx-D04-164-4-6	Δ = 164	bi.bi = 4	b0.bi = 6	hypers = 8 x (irr-D4-8a) + 16 x (irr-D4-8b)
vtx-D04-188-5-7	Δ = 188	bi.bi = 5	b0.bi = 7	hypers = 9 x (irr-D4-8a) + 18 x (irr-D4-8b)
vtx-D04-192-8-8	Δ = 192	bi.bi = 8	b0.bi = 8	hypers = 8 x (irr-D4-8a) + 16 x (irr-D4-8b) + 1 x (irr-D4-28)
vtx-D04-212-6-8	Δ = 212	bi.bi = 6	b0.bi = 8	hypers = 10 x (irr-D4-8a) + 20 x (irr-D4-8b)
vtx-D04-216-9-9	Δ = 216	bi.bi = 9	b0.bi = 9	hypers = 9 x (irr-D4-8a) + 18 x (irr-D4-8b) + 1 x (irr-D4-28)
vtx-D04-220-12-10	Δ = 220	bi.bi = 12	b0.bi = 10	hypers = 8 x (irr-D4-8a) + 16 x (irr-D4-8b) + 2 x (irr-D4-28)
vtx-D04-224-15-11	Δ = 224	bi.bi = 15	b0.bi = 11	hypers = 7 x (irr-D4-8a) + 14 x (irr-D4-8b) + 3 x (irr-D4-28)
vtx-D04-224-32-16	Δ = 224	bi.bi = 32	b0.bi = 16	hypers = 9 x (irr-D4-28)
vtx-D04-228-18-12	Δ = 228	bi.bi = 18	b0.bi = 12	hypers = 6 x (irr-D4-8a) + 12 x (irr-D4-8b) + 4 x (irr-D4-28)
vtx-D04-232-21-13	Δ = 232	bi.bi = 21	b0.bi = 13	hypers = 5 x (irr-D4-8a) + 10 x (irr-D4-8b) + 5 x (irr-D4-28)
vtx-D04-236-7-9	Δ = 236	bi.bi = 7	b0.bi = 9	hypers = 11 x (irr-D4-8a) + 22 x (irr-D4-8b)
vtx-D04-236-24-14	Δ = 236	bi.bi = 24	b0.bi = 14	hypers = 4 x (irr-D4-8a) + 8 x (irr-D4-8b) + 6 x (irr-D4-28)
vtx-D04-238-60-22	Δ = 238	bi.bi = 60	b0.bi = 22	hypers = 2 x (irr-D4-28) + 2 x (irr-D4-35a) + 4 x (irr-D4-35b)
vtx-D04-239-15-11	Δ = 239	bi.bi = 15	b0.bi = 11	hypers = 15 x (irr-D4-8a) + 14 x (irr-D4-8b) + 1 x (irr-D4-35b)
vtx-D04-239-32-16	Δ = 239	bi.bi = 32	b0.bi = 16	hypers = 8 x (irr-D4-8a) + 6 x (irr-D4-28) + 1 x (irr-D4-35b)
vtx-D04-239-60-22	Δ = 239	bi.bi = 60	b0.bi = 22	hypers = 1 x (irr-D4-8a) + 1 x (irr-D4-28) + 2 x (irr-D4-35a) + 3 x (irr-D4-35b) + 1 x (irr-D4-56a)
vtx-D04-240-27-15	Δ = 240	bi.bi = 27	b0.bi = 15	hypers = 3 x (irr-D4-8a) + 6 x (irr-D4-8b) + 7 x (irr-D4-28)
vtx-D04-240-32-16-a	Δ = 240	bi.bi = 32	b0.bi = 16	hypers = 9 x (irr-D4-8a) + 5 x (irr-D4-28) + 1 x (irr-D4-56a)
vtx-D04-240-32-16-b	Δ = 240	bi.bi = 32	b0.bi = 16	hypers = 9 x (irr-D4-8b) + 5 x (irr-D4-28) + 1 x (irr-D4-56b)
vtx-D04-240-60-22-a	Δ = 240	bi.bi = 60	b0.bi = 22	hypers = 2 x (irr-D4-8a) + 2 x (irr-D4-35a) + 2 x (irr-D4-35b) + 2 x (irr-D4-56a)
vtx-D04-240-60-22-b	Δ = 240	bi.bi = 60	b0.bi = 22	hypers = 2 x (irr-D4-8b) + 1 x (irr-D4-35a) + 3 x (irr-D4-35b) + 2 x (irr-D4-56b)
vtx-D04-241-45-19	Δ = 241	bi.bi = 45	b0.bi = 19	hypers = 1 x (irr-D4-8a) + 2 x (irr-D4-8b) + 5 x (irr-D4-28) + 1 x (irr-D4-35a) + 2 x (irr-D4-35b)
