vtx-E06-n78-n6-n4	Δ = -78	bi.bi = -6	b0.bi = -4	hypers = 
vtx-E06-n51-n5-n3	Δ = -51	bi.bi = -5	b0.bi = -3	hypers = 1 x (irr-E6-27)
vtx-E06-n24-n4-n2	Δ = -24	bi.bi = -4	b0.bi = -2	hypers = 2 x (irr-E6-27)
vtx-E06-3-n3-n1	Δ = 3	bi.bi = -3	b0.bi = -1	hypers = 3 x (irr-E6-27)
vtx-E06-30-n2-0	Δ = 30	bi.bi = -2	b0.bi = 0	hypers = 4 x (irr-E6-27)
vtx-E06-57-n1-1	Δ = 57	bi.bi = -1	b0.bi = 1	hypers = 5 x (irr-E6-27)
vtx-E06-84-0-2	Δ = 84	bi.bi = 0	b0.bi = 2	hypers = 6 x (irr-E6-27)
vtx-E06-111-1-3	Δ = 111	bi.bi = 1	b0.bi = 3	hypers = 7 x (irr-E6-27)
vtx-E06-138-2-4	Δ = 138	bi.bi = 2	b0.bi = 4	hypers = 8 x (irr-E6-27)
vtx-E06-165-3-5	Δ = 165	bi.bi = 3	b0.bi = 5	hypers = 9 x (irr-E6-27)
vtx-E06-192-4-6	Δ = 192	bi.bi = 4	b0.bi = 6	hypers = 10 x (irr-E6-27)
vtx-E06-216-8-8	Δ = 216	bi.bi = 8	b0.bi = 8	hypers = 8 x (irr-E6-27) + 1 x (irr-E6-78)
vtx-E06-219-5-7	Δ = 219	bi.bi = 5	b0.bi = 7	hypers = 11 x (irr-E6-27)
vtx-E06-234-18-12	Δ = 234	bi.bi = 18	b0.bi = 12	hypers = 4 x (irr-E6-78)
vtx-E06-237-15-11	Δ = 237	bi.bi = 15	b0.bi = 11	hypers = 3 x (irr-E6-27) + 3 x (irr-E6-78)
vtx-E06-240-12-10	Δ = 240	bi.bi = 12	b0.bi = 10	hypers = 6 x (irr-E6-27) + 2 x (irr-E6-78)
vtx-E06-243-9-9	Δ = 243	bi.bi = 9	b0.bi = 9	hypers = 9 x (irr-E6-27) + 1 x (irr-E6-78)
vtx-E06-246-6-8	Δ = 246	bi.bi = 6	b0.bi = 8	hypers = 12 x (irr-E6-27)
vtx-E06-264-16-12	Δ = 264	bi.bi = 16	b0.bi = 12	hypers = 4 x (irr-E6-27) + 3 x (irr-E6-78)
vtx-E06-273-7-9	Δ = 273	bi.bi = 7	b0.bi = 9	hypers = 13 x (irr-E6-27)
vtx-E06-288-20-14	Δ = 288	bi.bi = 20	b0.bi = 14	hypers = 2 x (irr-E6-27) + 4 x (irr-E6-78)
vtx-E06-300-8-10	Δ = 300	bi.bi = 8	b0.bi = 10	hypers = 14 x (irr-E6-27)
vtx-E06-312-24-16	Δ = 312	bi.bi = 24	b0.bi = 16	hypers = 5 x (irr-E6-78)
vtx-E06-408-12-14	Δ = 408	bi.bi = 12	b0.bi = 14	hypers = 18 x (irr-E6-27)
vtx-E06-435-13-15	Δ = 435	bi.bi = 13	b0.bi = 15	hypers = 19 x (irr-E6-27)
vtx-E06-462-14-16	Δ = 462	bi.bi = 14	b0.bi = 16	hypers = 20 x (irr-E6-27)
vtx-E06-477-27-21	Δ = 477	bi.bi = 27	b0.bi = 21	hypers = 9 x (irr-E6-27) + 4 x (irr-E6-78)
