vtx-G02-n7-n3-n1	Δ = -7	bi.bi = -3	b0.bi = -1	hypers = 1 x (irr-G2-7)
vtx-G02-14-n2-0	Δ = 14	bi.bi = -2	b0.bi = 0	hypers = 4 x (irr-G2-7)
vtx-G02-35-n1-1	Δ = 35	bi.bi = -1	b0.bi = 1	hypers = 7 x (irr-G2-7)
vtx-G02-56-0-2	Δ = 56	bi.bi = 0	b0.bi = 2	hypers = 10 x (irr-G2-7)
vtx-G02-77-1-3	Δ = 77	bi.bi = 1	b0.bi = 3	hypers = 13 x (irr-G2-7)
vtx-G02-98-2-4	Δ = 98	bi.bi = 2	b0.bi = 4	hypers = 16 x (irr-G2-7)
vtx-G02-119-3-5	Δ = 119	bi.bi = 3	b0.bi = 5	hypers = 19 x (irr-G2-7)
vtx-G02-140-4-6	Δ = 140	bi.bi = 4	b0.bi = 6	hypers = 22 x (irr-G2-7)
vtx-G02-161-5-7	Δ = 161	bi.bi = 5	b0.bi = 7	hypers = 25 x (irr-G2-7)
vtx-G02-168-8-8	Δ = 168	bi.bi = 8	b0.bi = 8	hypers = 24 x (irr-G2-7) + 1 x (irr-G2-14)
vtx-G02-182-6-8	Δ = 182	bi.bi = 6	b0.bi = 8	hypers = 28 x (irr-G2-7)
vtx-G02-189-9-9	Δ = 189	bi.bi = 9	b0.bi = 9	hypers = 27 x (irr-G2-7) + 1 x (irr-G2-14)
vtx-G02-196-12-10	Δ = 196	bi.bi = 12	b0.bi = 10	hypers = 26 x (irr-G2-7) + 2 x (irr-G2-14)
vtx-G02-203-7-9	Δ = 203	bi.bi = 7	b0.bi = 9	hypers = 31 x (irr-G2-7)
vtx-G02-203-15-11	Δ = 203	bi.bi = 15	b0.bi = 11	hypers = 25 x (irr-G2-7) + 3 x (irr-G2-14)
vtx-G02-209-15-11	Δ = 209	bi.bi = 15	b0.bi = 11	hypers = 28 x (irr-G2-7) + 1 x (irr-G2-27)
vtx-G02-210-18-12	Δ = 210	bi.bi = 18	b0.bi = 12	hypers = 24 x (irr-G2-7) + 4 x (irr-G2-14)
vtx-G02-210-50-20	Δ = 210	bi.bi = 50	b0.bi = 20	hypers = 16 x (irr-G2-14)
vtx-G02-215-55-21	Δ = 215	bi.bi = 55	b0.bi = 21	hypers = 1 x (irr-G2-7) + 12 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-216-18-12	Δ = 216	bi.bi = 18	b0.bi = 12	hypers = 27 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-216-50-20	Δ = 216	bi.bi = 50	b0.bi = 20	hypers = 3 x (irr-G2-7) + 13 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-216-72-24	Δ = 216	bi.bi = 72	b0.bi = 24	hypers = 1 x (irr-G2-14) + 8 x (irr-G2-27)
vtx-G02-217-21-13	Δ = 217	bi.bi = 21	b0.bi = 13	hypers = 23 x (irr-G2-7) + 5 x (irr-G2-14)
vtx-G02-217-45-19	Δ = 217	bi.bi = 45	b0.bi = 19	hypers = 5 x (irr-G2-7) + 14 x (irr-G2-14)
vtx-G02-219-65-23	Δ = 219	bi.bi = 65	b0.bi = 23	hypers = 7 x (irr-G2-14) + 5 x (irr-G2-27)
vtx-G02-220-60-22	Δ = 220	bi.bi = 60	b0.bi = 22	hypers = 2 x (irr-G2-7) + 8 x (irr-G2-14) + 4 x (irr-G2-27)
vtx-G02-221-55-21	Δ = 221	bi.bi = 55	b0.bi = 21	hypers = 4 x (irr-G2-7) + 9 x (irr-G2-14) + 3 x (irr-G2-27)
